"Actions","İşlemler"
"Are you sure?","Emin misiniz ?"
"critical","kritik"
"Date Added","Eklenme Tarihi"
"Error while marking as read. Please try again later.","Okundu olarak işaretlenirken hata oluştu. Lütfen daha sonra tekrar deneyiniz."
"Error while marking. Please try again later.","İşaretlenirken hata oluştu. Lütfen daha sonra tekrar deneyiniz."
"Error while removing. Please try again later.","Silinirken hata oluştu. Lütfen daha sonra tekrar deneyiniz."
"Last update","Son güncelleme"
"major","büyük"
"Mark as Read","Okundu Olarak Işaretle"
"Mark as read","Okundu olarak işaretle"
"Message","Mesaj"
"Message was successfully marked as read","Mesaj okundu olarak işaretlendi"
"Message was successfully removed","Mesaj silindi"
"Messages Inbox","Mesaj Gelen Kutusu"
"minor","küçük"
"notice","not"
"Notifications","Duyurular"
"Please select messages","Lütfen mesajları seçiniz"
"Read Details","Detayları Oku"
"Remove","Sil"
"Severity","Önem"
"Show List","Listeyi Göster"
"Show Toolbar","Araç Çubuğunu Göster"
"Total of %d record(s) were successfully marked as read","%d adet mesaj okundu olarak işaretlendi"
"Total of %d record(s) were successfully removed","%d adet mesaj silindi"
"Unable to proceed. Please, try again","İşlem yapılamadı. Lütfen daha sonra tekrar deneyiniz"
"Update frequency","Güncelleme aralığı"
"Use HTTPS to get feed","Veri akışı almak için HTTPS kullan"
"--------------- v 1.4.2.0 2010-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"An error occurred while marking notification as read.","Duyuru okundu olarak işaretlenirken bir hata oluştu."
"An error occurred while marking the messages as read.","Mesajlar okundu olarak işaretlenirken bir hata oluştu."
"An error occurred while removing messages.","Duyuru silinirken bir hata oluştu."
"An error occurred while removing the message.","Mesaj silinirken bir hata oluştu."
"Last Update","Son Güncelleme"
"Please select messages.","Lütfen mesajları seçiniz."
"The message has been marked as read.","Mesaj okundu olarak işaretlendi."
"The message has been removed.","Mesaj silindi."
"Total of %d record(s) have been marked as read.","%d adet kayıt okundu olarak işaretlendi."
"Total of %d record(s) have been removed.","%d adet kayıt silindi."
"Unable to proceed. Please, try again.","İşlem yapılamadı. Lütfen daha sonra tekrar deneyiniz."
"Update Frequency","Güncelleme Sıklığı"
"Use HTTPS to Get Feed","Veri Akışını alırken HTTPS kullan"
"--------------- v 1.4.2.0 2010-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.7.0.0-alpha 2012-04-28 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Wrong message type","Hatalı mesaj tipi"
"--------------- v 1.7.0.0-alpha 2012-04-28 SONU --------------------","////////////////////////////////////////////////////////////////////////"
