"--Please Select--","--Lütfen Seçiniz--"
"API Login ID","API Giriş No"
"Accepted Currency","Kabul Edilen Para Birimi"
"Authorize.net Direct Post","Authorize.net Direk Posta"
"Card Verification Number","Kart Doğrulama Numarası"
"Card Verification Number Visual Reference","Kart Doğrulama Numarası Görsel Referans"
"Close","Kapat"
"Credit Card Information","Kredi Kartı Bilgisi"
"Credit Card Number","Kredi Kartı Numarası"
"Credit Card Type","Kredi Kartı Tipi"
"Credit Card Types","Kredi Kartı Tipleri"
"Credit Card Verification","Kredi Kartı Doğrulama"
"Debug","Hata Ayıklama"
"Email Customer","Müşteriye Mail Gönder"
"Enabled","Açık"
"Expiration Date","Son Kullanım Tarihi"
"Gateway URL","Geçit Adresi"
"Maximum Order Total","İzin verilen En Yüksek Toplam"
"Merchant MD5","Satıcı MD5"
"Merchant's Email","Satıcı E-Mail"
"Minimum Order Total","İzin verilen En Düşük Toplam"
"New Order Status","Yeni Sipariş Durumu"
"Order saving error: %s","Sipariş kaydedilirken hata oluştu : %s"
"Payment Action","Ödeme İşlemi"
"Payment authorization error.","Ödeme doğrulama hatası."
"Payment authorization error. Transacion id is empty.","Ödeme doğrulama hatası. İşlem numarası boş."
"Payment error. Order was not found.","Ödeme hatası. Sipariş bulunamadı."
"Payment error. Paid amount doesn\'t match the order amount.","Ödeme hatası. Alınan ödeme ile sipariş toplamı eşit değil."
"Payment from Applicable Countries","Mümkün olan her ülkeden"
"Payment from Specific Countries","Sadece belirlenen ülkelerden"
"Please, choose payment method","Lütfen ödeme yöntemi seçiniz"
"Response hash validation failed. Transaction declined.","Veri akışı esnasında anahtar kelime eşlemesi yapılamadı. İşlem reddedildi."
"Sort Order","Sıralama"
"Test Mode","Test Modu"
"The order has been created.","Sipariş oluşturuldu."
"There was an error processing your order. Please contact us or try again later.","Siparişiniz işlenirken sorun oluştu. Lütfen site yönetimi ile bağlantı kurunuz veya daha sonra tekrar deneyiniz."
"Title","Başlık"
"Transaction Key","İşlem Anahtarı"
"What is this?","Bu nedir?"
"You will be required to enter your payment details before you place an order.","Siparişi tamamlamak için ödeme detaylarınızı girmeniz gerekiyor."
"--------------- v 1.8.0.0 2014-05-07 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Amount of %s approved by payment gateway. Transaction ID: ""%s"".","Tutar %s ödeme sağlayıcı tarafından onaylandı. İşlem No : ""%s""."
"--------------- v 1.8.0.0 2014-05-07 SONU --------------------","////////////////////////////////////////////////////////////////////////"
