"Action","İşlem"
"Download","İndir"
"DB","Veritabanı"
"File compressed with Zlib, but this extension is not installed on server","Dosya Zlib kullanılarak sıkıştırılmış, ancak bu eklenti sunucuda kurulu değil"
"Time","Saat"
"All types","Tüm tipler"
"Type","Tip"
"Backup file doesn't exist","Yedek dosyası bulunamadı"
"Cannot read backup file","Yedek dosyası okunamadı"
"Backups Control","Yedek Kontrolü"
"Backups Control","Yedek Kontrolü"
"Create Backup","Yedek Oluştur"
"Backups","Yedekler"
"Wrong order of creation for new backup","Yeni yedek oluşturmak için yanlış sıralama"
"---------------version 1.2 - siteden cekilen dosyalarla eklendi--------------------","////////////////////////////////////////////////////////////////////////"
"Backup file ""%s"" can\'t read or write","""%s"" adlı yedek dosyası okunamıyor ve yazılamıyor"
"Backup file ""%s"" doesn\'t exist","""%s"" adlı yedek dosyası yok"
"Backup file handler don\'t specify","Yedek dosyası tutamacı belirtilmedi"
"Backup file path don\'t specify","Yedek dosyası yolu belirtilmedi"
"Database was successfuly backed up.","Veritabanı yedeklendi."
"Error write to Backup file ""%s"""," ""%s"" adlı yedek dosyasına yazılamıyor"
"Size, byte","Boyut, bayt"
"Unable to create backup. Please, try again later.","Yedek oluşturulamadı. Lütfen daha sonra tekrar deneyiniz."
"--------------- v 1.3 2009-04-01 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Backup file ""%s"" can't read or write","""%s"" adlı yedek dosyası okunamıyor ve yazılamıyor"
"Backup file ""%s"" doesn't exist","""%s"" adlı yedek dosyası yok"
"Backup file handler don't specify","Yedek dosyası tutamacı belirtilmedi"
"Backup file path don't specify","Yedek dosyası yolu belirtilmedi"
"--------------- v 1.3 2009-04-01 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.4.2.0 2010-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"An error occurred while writing to the backup file ""%s"".","Yedek dosyası kaydedilirken bir sorun oluştu : ""%s""."
"Backup file ""%s"" cannot be read from or written to."," ""%s"" yedek dosyasına erişilemiyor."
"Backup file ""%s"" does not exist."," ""%s"" adlı yedek dosyası bulunamıyor."
"Backup file does not exist.","Yedek dosyası yok."
"Backup file handler was unspecified.","Yedek dosyası tutamacı belirtilmedi."
"Backup file path was not specified.","Yedek dosyası yolu belirtilmedi."
"Cannot read backup file.","Yedek dosyası okunamıyor."
"Size, Bytes","Boyut, Bayt"
"The file was compressed with Zlib, but this extension is not installed on server.","Dosya Zlib ile sıkıştırılmış, ancak sunucuda bu PHP eklentisi kurulu değil."
"Wrong order of creation for new backup.","Yeni yedek oluşturmak için yanlış sıralama."
"--------------- v 1.4.2.0 2010-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.7.0.0-alpha 2012-01-22 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"An error occurred while creating the backup.","Yedek oluşturulurken bir hata oluştu."
"Are you sure you want to delete the selected backup(s)?","Seçili yedekleri silmek istediğinizden emin misiniz ?"
"Backup Type","Yedek Tipi"
"Backup file not found","Yedek dosyası bulunamadı"
"Database Backup","Veritabanı Yedeği"
"Database and Media Backup","Veritabanı ve Medya Yedeği"
"Enable Scheduled Backup","Zamanlanmış Yedeklemeyi Aç"
"Failed to connect to FTP","FTP ye bağlanılırken hata oluştu"
"Failed to delete one or several backups.","Yedek silinirken hata oluştu."
"Failed to rollback","Yedek geri yüklenirken hata oluştu"
"Failed to validate FTP","FTP doğrulamada hata oluştu"
"Frequency","Aralık"
"Invalid Password.","Hatalı şifre."
"Maintenance Mode","Bakım Modu"
"Not enough free space to create backup.","Yedek için yeterli boş yer yok."
"Not enough permissions to create backup.","Yedek için yeterli yetki yok."
"Not enough permissions to perform rollback","Yedeği geri yüklemek için yeterli yetki yok"
"Please deselect the sufficient check-box, if you want to continue backup's creation","Yedek oluşturmaya devam etmek istiyorsanız yeterince onay kutusundan onayı kaldırın."
"Please deselect the sufficient check-box, if you want to continue rollback processing","Yedek geri almaya devam etmek istiyorsanız yeterince onay kutusundan onayı kaldırın."
"Put store on the maintenance mode while backup's creation","Yedek oluştururken siteyi bakım moduna al"
"Rollback","Yedekten Geri Yükleme"
"Scheduled Backup Settings","Zamanlanmış Yedekleme Ayarları"
"Start Time","Başlangıç Saati"
"System Backup","Sistem Yedekleme"
"System couldn't put store on the maintenance mode","Sistem, siteyi bakım moduna alamadı"
"The database and media backup has been created.","Veritabanı ve medya yedeği oluşturuldu."
"The database backup has been created.","Veritabanı yedeği oluşturuldu."
"The selected backup(s) has been deleted.","Seçili yedek silindi."
"The system backup has been created.","Sistem yedeği oluşturuldu."
"Unable to save the cron expression.","Zamanlama komutu kaydedilemedi."
"Warning! System couldn't put store on the maintenance mode.","Dikkat! Sistem, siteyi bakım moduna alamadı."
"--------------- v 1.7.0.0-alpha 2012-01-22 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.7.0.0-alpha 2012-04-28 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Name","Adı"
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the backup.""","Ya ""Bakım Moduna Al"" seçeneğinin işaretini kaldırın, ya da yedeklemeyle beraber yapmak için yetkilerinizi güncelleyin."""
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the rollback.""","Ya ""Bakım Moduna Al"" seçeneğinin işaretini kaldırın, ya da geri yükleme ile beraber yapmak için yetkilerinizi güncelleyin."
"The system (excluding Media) backup has been created.","Genel (Media klasörü hariç) yedek oluşturuldu."
"You do not have sufficient permissions to enable Maintenance Mode during this operation.","Bu işlem sırasında siteyi Bakım Moduna almak için yeterli yetkiniz yok."
"--------------- v 1.7.0.0-alpha 2012-04-28 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.8.0.0 2013-09-28 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Database","Veritabanı"
"Database and Media","Veritabanı ve Medya"
"System","Sistem"
"System (excluding Media)","Sistem (Medya Hariç)"
"--------------- v 1.8.0.0 2013-09-28 SONU --------------------","////////////////////////////////////////////////////////////////////////"
