"# of Use","# Kullanımda"
"Invalid attribute option specified for attribute %s (%s), skipping the record","%s (%s) için hatalı seçenek değeri, kayıt atlanıyor"
"Invalid option id specified for %s (%s), skipping the record","%s (%s) için hatalı seçenek numarası, kayıt atlanıyor"
"Error while adding customers for %s alert. Message: %s","%s alarmı için müşteriler eklenirken hata oluştu. Mesaj : %s"
"Buy %s for %s each","%s her biri için sadece %s ödeyin"
"Customers for alert %s was successfuly added to queue","%s için alarm kaydeden müşteriler kuyruğa eklendi"
"Buy %s for %s","%s için sadece %s ödeyin"
"Name In %s","%s içindeki Adı"
"Product %s successfully removed from compare list","%s Karşılaştırma listesinden silindi"
"Product %s successfully added to compare list","%s karşılaştırma listesine eklendi"
"%s Item(s)","%s Kayıt"
"(Will make search for the query above return results for this search.)","(Belirlediğiniz arama kriterlerine uygun sonuçlar aşağıda listelenecektir.)"
"(Copy data from: %s)","(Veri kaynağı : %s)"
"-- Please Select --","-- Lütfen Seçiniz --"
"Browse By","Daralt"
"Shop by","Hedef Daralt"
"View as","Listeleme Şekli"
"You may also be interested in the following product(s)","Aşağıdaki ürünleri zaten takip listenize eklediniz."
"Dropdown","Açılır Menü"
"Name","Adı"
"First Name","Adı"
"Name:","Adı :"
"Name<br/>(For internal use)","Adı <br/>(Sadece yönetimde gözükür)"
"Double click on a group to rename it","Adını değiştirmek istediğiniz gruba tıklayınız"
"Qty","Adet"
"Qty Uses Decimals","Adet kısmında ondalık sayı kullan"
"Url","Adres"
"Url Rewrite Management","Adres Yeniden Yazım Yönetimi"
"Enabled","Aktif"
"Shopping Options","Alışveriş Seçenekleri"
"Currently Shopping by","Alışveriş Yapılan "
"Recipient:","Alıcı :"
"Add Recipient","Alıcı Ekle"
"Bottom/Right","Alt/Sağ"
"Bottom/Left","Alt/Sol"
"Root","Ana Dizin"
"Home","Ana Sayfa"
"Go to Home Page","Ana Sayfaya Git"
"Search","Arama"
"Search Term was successfully saved","Arama (cümlesi) kaydedildi"
"Search Information","Arama Bilgisi"
"Search Engine Optimizations","Arama Motoru Optimizasyonları"
"Search was successfully deleted","Arama silindi"
"Search Query","Arama Sorgusu"
"Edit Search","Aramayı Düzenle"
"Edit Search '%s'","Aramayı Düzenle '%s'"
"Save Search","Aramayı Kaydet"
"Delete Search","Aramayı Sil"
"Searchable","Aranabilir"
"Backend Model","Arka Uç Modeli"
"Backend Table Title","Arka Uç Tablo Başlığı"
"Backend Table","Arka Uç Tablosu"
"Email to a Friend","Arkadaşına Tavsiye Et"
"Configurable Product","Ayarlanabilir Ürün"
"Configurable Product Settings","Ayarlanabilir Ürün Ayarları"
"Select Configurable Attributes ","Ayarlanabilir Ürün Özelliklerini Seç "
"Use To Create Configurable Product","Ayarlanabilir Ürün oluştururken kullan"
"Copy From Configurable","Ayarlanabilir Üründen Kopyala"
"Apply To Configurable/Grouped Product","Ayarlanabilir/Gruplu Ürüne Uygula"
"Settings","Ayarlar"
"Use Config Settings","Ayarları Kullan"
"Attribute with the same code already exists","Aynı kodu kullanan bir özellik zaten var"
"Based On","Şuna Bağlı"
"Backorders","Önsipariş (Stoksuz Satış)"
"Action","İşlem"
"Unable to complete request. Please try again later.","İşlem tamamlanamadı. Lütfen daha sonra tekrar deneyiniz."
"For internal use. Must be unique with no spaces","İç kullanım içindir. Eşsiz olmalı ve boşluk içermemelidir"
"Related Products","İlişkili Ürünler"
"Associated Products","Gruba Bağlı Ürünler"
