"%s and greater","%s veya daha büyük"
"up to %s","%s'e kadar"
"Search results for: '%s'","'%s' için Arama Sonuçları"
"Search results for '%s'","'%s' için Arama Sonuçları"
"<b>%d item(s)</b> were found using the following search criteria","Aşağıdaki arama kriteri kullanılarak <b>%d adet ürün</b> bulundu"
"Description","Açıklama"
"Name","Adı"
"Home","Ana Sayfa"
"Go to Home Page","Ana Sayfaya Git"
"Search","Arama"
"Search Settings","Arama Ayarları"
"There are no search terms available.","Arama kelimesi bulunamadı."
"Your search returns no results.","Arama sonucunda sonuç yok."
"Modify your search","Aramanızı düzenleyin"
"Search entire store here...","Aranan kelimeyi buraya yazınız..."
"Search entire store here...","Aranan kelimeyi buraya yazınız..."
"Search Terms","Arananlar"
"You have to specify at least one search term","En az bir kelime girmelisiniz"
"Popular search terms","En çok arananlar"
"Popular Search Terms","En Çok Arananlar"
"Price","Fiyat"
"Advanced Search","Gelişmiş Arama"
"All","Hepsi"
"Grid","Izgara"
"Catalog Advanced Search","Katalogda Gelişmiş Arama"
"Short Description","Kısa Açıklama"
"SKU","Ürün Kodu"
"List","Liste"
"Autogenerated site map","Otomatik oluşturulmuş site haritası"
"Search Site","Sitede Ara"
"Results","Sonuçlar"
"Tax Class","Vergi Sınıfı"
"Required Fields","Zorunlu Alanlar"
"---------------version 1.2 - siteden cekilen dosyalarla eklendi--------------------","////////////////////////////////////////////////////////////////////////"
"Applies for ""Like"" Search type only","Sadece ""Like"" (Benzer) tipinde arama tipini uygular"
"Apply Layered Navigation if search results are less than","Arama sonuçları şu değerden az ise Katmanlı Gezinme Bölümüne uygula : "
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Özellik ayar değişikliği Arama İndeksi ile bağlantılı. Lütfen <a href=""%s"">Arama İndekslerini Yenile</a> işlemini çalıştırın"
"Catalog Search","Katalog Araması"
"Don't see what you're looking for?","Aradığınız şeyi bulamadınız mı ?"
"Go","Git"
"Maximum Query Length","En fazla Arama Uzunluğu"
"Maximum Query Words Count","En fazla Arama Kelime Sayısı"
"Maximum Search query  length is %s. Your query was cut.","En fazla Arama Uzunluğu : %s. Bu uzunluktan sonraki karakterler gözardı edilecektir."
"Minimal Query Length","En az Arama Uzunluğu"
"No","Hayır"
"No items were found using the following search criteria.","Arama kriterlerine uygun sonuç bulunamadı."
"Please enter ""0"" to enable layered navigation for any number of results","Katmanlı Gezinme Bölümünde arama sonuçlarına sınır koymamak için ""0"" yazınız"
"Relevance","İlişki"
"Search Type","Arama Tipi"
"Subscribe to Feed","Veri Akışına Üye Ol"
"Yes","Evet"
"--------------- v 1.3 2009-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"<strong>%d item(s)</strong> were found using the following search criteria","Aradığınız kelime ile <strong>%d ürün</strong> bulundu"
"Advanced Search Form","Gelişmiş Arama Formu"
"Advanced Search Result","Gelişmiş Arama Sonucu"
"Catalog Search Index","Arama indeksi"
"Minimum Search query length is %s","En küçük arama kelimesi boyutu %s"
"Quick Search Form","Hızlı Arama Formu"
"Rebuild Catalog product fulltext search index","Katalog ürün arama indeksini yenile"
"Search:","Arama :"
"--------------- v 1.3 2009-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.4.1 2010-06-21 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Is product available for purchase with Google Checkout","Ürün Google Checkout üzerinden satılsın mı"
"--------------- v 1.4.1 2010-06-21 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.4.2.0 2010-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Applies for ""Like"" search type only.","Sadece ""Like"" arama tipine uygulanır."
"Apply Layered Navigation if Search Results are Less Than","Eğer arama sonuçları bu rakamdan azsa Katmanlı Gezinmeye Uygula"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","Özellik ayar değişimi Arama İndeksi ile bağlantılıdır. Lütfen <a href=""%s"">Arama İndeksini Yenile</a> bağlantısına tıklayarak işlemi başlatınız."
"Autogenerated Site Map","Otomatik Oluşturulmuş Site Haritası"
"Enter ""0"" to enable layered navigation for any number of results.","Herhangi bir arama sonucu sayısında etkin hale getirmek için 0 (Sıfır) giriniz."
"Please specify at least one search term.","En az bir kelime giriniz."
"--------------- v 1.4.2.0 2010-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.6.0.0-rc2 2011-07-20 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Specified date is invalid.","Belirtilen tarih hatalı."
"--------------- v 1.6.0.0-rc2 2011-07-20 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.7.0.0-alpha 2012-01-22 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Maximum words count is %1$s. In your search query was cut next part: %2$s.","İzin verilen en fazla kelime adedi %1$s. Arama sorgunuzda çok fazla kelime olduğu için izin verilenden sonrası kesilecek : %2$s."
"--------------- v 1.7.0.0-alpha 2012-01-22 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.7.0.0-alpha 2012-04-28 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Maximum Search query length is %s. Your query was cut.","En uzun arama kelimesi %s karakter olabilir. Arama kelimenizin fazla kısmı kesilecek."
"--------------- v 1.7.0.0-alpha 2012-04-28 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.9.2.2 2016-05-21 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Show Autocomplete Results Count","Arama Tavsiyesi Sonuç Sayısı"
"--------------- v 1.9.2.2 2016-05-21 SONU --------------------","////////////////////////////////////////////////////////////////////////"
