"Coupon code ""%s"" is not valid."," ""%s"" numaralı kupon kodu hatalı."
"%s was successfully added to your shopping cart.","%s sepetinize eklendi."
"&laquo; Back to Billing Information","&laquo; Fatura Bilgileri Bölümüne Dön"
"&laquo; Back to Select Addresses","&laquo; Seçilen Adreslere Dön"
"&laquo; Back to Shopping Cart","&laquo; Sepete Dön"
"* Required Fields","* Doldurulması zorunlu alanlar"
"First Name","Adınız"
"Qty","Adet"
"Update Qty &amp; Addresses","Adet &amp; Adres bilgisini güncelle"
"Unit Price","Adet Fiyatı"
"Street Address","Adres"
"Address","Adres"
"Address %s of %s","Adres %s - %s"
"Street Address 2","Adres 2"
"Save in address book","Adres Defterine kaydet"
"Add New Address","Adres Ekle"
"Edit Address","Adresi Düzelt"
"Select Addresses","Adresleri Seçin"
"Select Address","Adresleri Seçin"
"Checkout method","Alışveriş Bitirme Yöntemleri"
"Shopping Cart","Alışveriş Sepeti"
"Shopping Cart is Empty","Alışveriş Sepetiniz Boş"
"Checkout Options","Alışveriş Sonu Seçenekleri"
"Continue Shopping","Alışverişe Devam"
"Proceed to Checkout","Alışverişi Bitir"
"Checkout","Alışverişi Bitir"
"Shipping to","Alıcı"
"Send to","Alıcı"
"Subtotal","Ara Toplam"
"Configurable product image","Ayarlanabilir Ürün Resmi"
"City","İlçe"
"Password","Şifre"
"Confirm Password","Şifre (Tekrar)"
"Forgot your password?","Şifrenizi mi unuttunuz ?"
"Discount Codes","İndirim Kodları"
"Some of the products you requested are not available in the desired quantity","İstediğiniz bazı ürünler istediğiniz miktarda stokta yok"
"Some of the products you requested are unavailable","İstediğiniz bazı ürünler stokta yok"
"Country","Ülke"
"Product","Ürün"
"Product Name","Ürün Adı"
"Display item quantities","Toplam ürün adedini göster"
"Product does not exist","Ürün bulunamıyor"
"After adding a product redirect to shopping cart","Ürün ekledikten sonra sepete yönlendir"
"Remove Item","Ürün sil"
"Remove Product","Ürün Sil"
"Cannot remove item","Ürün silinemiyor"
"Cannot move item to wishlist","Ürün takip listesine eklenemiyor"
"Items","Ürünler"
"Edit Items","Ürünleri Düzelt"
"Sorry, no quotes are available for this order at this time.","Üzgünüz, bu sipariş için teklif bulunamıyor."
"Payment Information","Ödeme Bilgisi"
"Continue to Billing Information","Ödeme ve Fatura Bilgileri Sayfasına Devam Et"
"Ship to different address","Başka adrese gönder"
"Loading next step...","Bir sonraki adım yükleniyor..."
"Ship to Multiple Addresses","Birden fazla adrese gönder"
"Maximum qty allowed for Shipping to multiple addresses is %s","Birden fazla adrese gönderim için gereken en fazla adet : %s"
"Checkout with Multiple Addresses","Birden Fazla Adresle Alışverişi Bitir"
"Thank you for your purchase!","Bizi tercih ettiğiniz için teşekkür ederiz !"
"Total for this address","Bu adres için toplam"
"Ship to this address","Bu adrese gönder"
"Are you sure you would like to remove this item from the shopping cart?","Bu ürünü sepetinizden silmek istediğinizden emin misiniz ?"
"There is already a customer registered using this email address","Bu e-mail adresiyle kayıtlı bir müşterimiz zaten var"
"Recently added item(s)","Daha önce eklenen ürünler"
"Edit","Düzelt"
"Continue","Devam"
"Email Address","Email Adresi"
"State/Province","Şehir"
"Select State/Province...","Şehir Seçiniz..."
"Fax","Faks"
"Billing Address","Fatura Adresi"
"Create Billing Address","Fatura Adresi Ekle"
"Select a billing address from your address book or enter a new address.","Fatura adresi olarak kullanılmak üzere adres defterinizden bir adres seçin veya yeni bir adres ekleyin."
"Edit Billing Address","Fatura Adresini Düzelt"
"Change Billing Address","Fatura Adresini Değiştir"
"Use Billing Address","Fatura Adresini Kullan"
"Billing Information","Fatura Bilgisi"
"Billing Information - %s","Fatura Bilgisi - %s"
"Company","Firma"
"Price","Fiyat"
"Get a Quote","Fiyat Al"
"Grand Total:","Genel Toplam :"
"Back","Geri"
"Login","Giriş"
"Grouped product image","Grup Ürünü Resmi"
"Invalid shipping method.","Hatalı teslimat yöntemi."
"Invalid data","Hatalı veri"
"Fast and easy check out","Hızlı ve Kolay Sipariş"
"My Account","Hesabım"
"Estimate Shipping and Tax","Hesaplanan Kargo Ücreti ve Vergi"
"Register with us for future convenience:","Kalitemizi kullanmak için üye olun :"
"Close","Kapat"
"Add to Compare","Karşılaştırma Listesine Ekle"
"Enter your destination to get a shipping estimate.","Kargo ücretinin hesaplanması için siparişinizin teslim edileceği yeri seçiniz."
"Card Verification Number Visual Reference","Kart Güvenlik Numarası Görsel Referansı"
"Allow Guest Checkout","Kayıtlı olmayan kullanıcıların (Misafir) alışveriş yapmasına izin ver"
"Register","Kaydol"
"Register and save time!","Kaydolun ve zamandan kazanın!"
"Coupon code was canceled successfully.","Kupon kodu iptal edildi."
"Can not apply coupon code.","Kupon Kodu uygulanamıyor."
"Coupon code was applied successfully.","Kupon kodu uygulandı."
"Enter your coupon code if you have one.","Kupon kodunuz varsa giriniz."
"Cancel Coupon","Kuponu İptal Et"
"Apply Coupon","Kuponu Uygula"
"Please <a href=""%s"">continue shopping</a>.","Lütfen alışverişe devam etmek için <a href=""%s"">BURAYA TIKLAYINIZ</a>."
"Please specify the product(s) quantity","Lütfen ürün adetlerini belirleyiniz"
"Please specify the product option(s)","Lütfen ürün seçeneklerini belirleyiniz"
"Please select region, state or province","Lütfen bölge, eyalet veya şehir seçiniz"
"Please select shipping methods for all addresses","Lütfen bütün adresler için bir teslimat yöntemi seçiniz"
"Please enter a coupon code.","Lütfen bir kupon kodu giriniz."
"Please enter a coupon code.","Lütfen bir kupon kodu giriniz."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Lütfen geçerli bir posta kodu giriniz. Örnek : 34212 or 34122-1244."
"Please log in below:","Lütfen giriş yapınız :"
"Store Pickup","Mağazadan Alınacak"
"Load customer quote error","Müşteri fiyatı çekilirken hata oluştu"
"Checkout as Guest","Misafir Olarak Alışverişi Bitir"
"Checkout as a Guest or Register","Misafir Olarak Alışverişi Bitir veya Üye Kaydı Yap"
"Based on your selection, you may be interested in the following items:","Seçimlerinize bakarak aşağıdaki ürünlerin de ilginizi çekeceğini düşündük :"
"Display Cart Summary","Sepet Özetini Göster"
"Cannot update shopping cart","Sepet güncellenemiyor"
"Can not add item to shopping cart","Sepete ürün eklenemiyor"
"Add to Cart","Sepete Ekle"
"Edit Your Cart","Sepeti Düzenle"
"Update Shopping Cart","Sepeti Güncelle"
"My Cart","Sepetim"
"My Cart (%s item)","Sepetim (%s ürün)"
"My Cart Link","Sepetim Bağlantısı"
"My Cart (%s items)","Sepetim(%s ürün)"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","Sepetinizde <a href=""%s""><strong>%s adet ürün</strong></a> var."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","Sepetinizde <a href=""%s""><strong>1 ürün</strong></a> var."
"You have no items in your cart.","Sepetinizde hiç ürün yok."
"You have no items in your shopping cart.","Sepetinizde hiç ürün yok."
"Display number of items in cart","Sepetteki ürün sayısını göster"
"Remove","Sil"
"Cart Subtotal:","Sipariş Ara Toplamı :"
"Order Success","Sipariş Başarılı"
"Submitting order information...","Sipariş bilgisi gönderiliyor..."
"Your Checkout Progress","Sipariş Durumunuz"
"Order Review","Sipariş Gözden Geçir"
"Easy access to your order history and status","Sipariş geçmişiniz ve siparişlerinizin durumu için kolay erişim"
"Your order number is %s","Sipariş numaranız : %s"
"Click <a href=""%s"" target=""_blank"">here to print</a> a copy of your order confirmation.","Sipariş onayınızın bir kopyasını yazdırmak için <a href=""%s"" target=""_blank"">BURAYA TIKLAYINIZ</a>."
"Place Order","Sipariş Ver"
"Review Order","Siparişe Gözat"
"Review Order - %s","Siparişe Gözat - %s"
"Continue to Review Your Order","Siparişini Kontrol Etmek için Devam Et"
"Your order # is: %s","Siparişiniz # : %s"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Siparişiniz işleme alındı. En kısa zamanda size sipariş detaylarınızla ilgili bir mail göndereceğiz. Siparişiniz kargoya verilince teslimatla ilgili bir mail daha alacaksınız."
"There was an error processing your order. Please contact us or try again later.","Siparişiniz işlenirken hata oluştu. Lütfen daha sonra tekrar deneyiniz veya bizimle bağlantı kurunuz."
"Your order has been received","Siparişiniz sistemimize ulaştı"
"Already registered?","Sitemize kayıtlı mısınız ?"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Size siparişiniz için bir onay maili göndereceğiz. Bu mail aynı zamanda siparişinize ulaşmanızı ve izlemenizi sağlayacak."
"Last Name","Soyadı"
"Payment Method","Tahsilat Yöntemi"
"Payment method is not defined","Tahsilat yöntemi ayarlanmadı"
"Change Payment Method","Tahsilat Yöntemini Değiştir"
"Add to Wishlist","Takip Listesine Ekle"
"Move to Wishlist","Takip Listesine Taşı"
"Quote Lifetime (days)","Teklif Geçerlilik Süresi (gün)"
"Telephone","Telefon"
"Shipping Address","Teslimat Adresi"
"Create Shipping Address","Teslimat Adresi Ekle"
