"* Required Fields","* Zorunlu alanlar"
"Name","Adı"
"Unable to submit your request. Please, try again later","İşleminiz şu anda yapılamıyor. Lütfen daha sonra tekrar deneyiniz."
"Contact Us","İletişim"
"Contact Information","İletişim Formu"
"Contact Form","İletişim Formu"
"Send Emails To","E-Mail Alıcısı"
"Email","Email"
"Email Template","Email Şablonu"
"Email Sender","Email Göndericisi"
"Email Options","Email Seçenekleri"
"Submit","Gönder"
"Enable Contact Us","İletişim Formunu Etkinleştir"
"Contacts","Kontaktlar"
"Comment","Mesajınız"
"Your inquiry was submitted and will be responded as soon as possible. Thank you for contacting us.","Talebiniz alındı. Sizinle en kısa zamanda bağlantı kurulacaktır. Bizimle bağlantı kurduğunuz için teşekkür ederiz."
"Telephone","Telefon"
"---------------version 1.2 - siteden cekilen dosyalarla eklendi--------------------","////////////////////////////////////////////////////////////////////////"
"Contacts Section","Kontaktlar Bölümü"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Bilgi isteğiniz gönderildi ve en kısa zamanda cevaplanacak. Bizimle bağlantı kurduğunuz için teşekkür ederiz."
"--------------- v 1.3 2009-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Contact Us Form","İletişim Formu"
"--------------- v 1.3 2009-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
