"Block with name ""%s"" already exists","""%s"" adla bir grup zaten var"
"Invalid messages storage ""%s"" for layout messages initialization","""%s"" Yapı mesajları başlangıcı için hatalı mesaj deposu "
"Wrong number of arguments for %s","%s için yanlış sayıda parametre var"
"%s already exist","%s zaten var"
"%s already exists","%s zaten var"
"* Required Fields","* Gerekli Alanlar"
"-- Please Select --","-- Lütfen Seçiniz --"
"Name","Adı"
"Url Options","Adres Seçenekleri"
"Add Store Code to Urls","Adreslere Mağaza Kodu Ekle"
"Enabled","Aktif"
"Invalid block name to set child %s: %s","Alt kayıt için hatalı blok adı %s: %s"
"Base URL","Ana Adres"
"Base Link URL","Ana Bağlantı Adresi"
"Base directory","Ana Dizin"
"Base JavaScript URL","Ana JavaScript Adresi"
"Root Category","Ana Kategori"
"Base Media URL","Ana Medya Dosyaları Adresi"
"Empty main table name","Ana tablo adı boş"
"Base Skin URL","Ana Tema Adresi"
"Search","Ara"
"Store with the same code","Aynı kodla bir mağaza zaten kayıtlı"
"Website with the same code","Aynı Kodla Web sitesi "
"Forgot Password Email Sender","Şifremi Unuttum Mail Göndericisi"
"Forgot Password Email Template","Şifremi Unuttum Mail Teması"
"Contact Information","İletişim Bilgisi"
"Cancel","İptal"
"Contact Us","İrtibat"
"Allowed IPs (comma separated)","İzin veriler IP Adresleri (virgülle ayrılmış)"
"Countries options","Ülke seçenekleri"
"Allow countries","Ülkelere izin ver"
"Compare Items","Ürünleri Karşılaştır"
"Compare Products","Ürünleri Karşılaştır"
"Compare Products - %d Items","Ürünleri Karşılaştır - %d adet"
"Enabled for Frontend","Ön Sayfa için açık"
"Use Secure URLs in Frontend","Ön Sayfada Güvenli Adresler kullan"
"Custom email 1","Özel e-mail 1"
"Custom email 2","Özel e-mail 2"
"Custom Design","Özel Tasarım"
"Cookie Lifetime","Çerez Ömrü"
"Cookie Path","Çerez Dizini"
"Cookie Domain","Çerez Domaini"
"Translations","Çeviriler"
"Date From","Başlama Tarihi"
"Start date can't be greater than end date","Başlama tarihi bitiş tarihinden sonra olamaz"
"Unknown scope ""%s""","Bilinmeyen havuz ""%s"""
"Deleting a store view will not delete the information associated with the store view (e.g. categories, products, etc.), but the store view will not be able to be restored. It is suggested that you create a database backup before deleting the store view.","Bir mağaza görünümünü sildiğinizde bu görünüme bağlı olan bilgiler silinmez (örnek kategoriler, ürünler, vs.), ama mağaza görünümü bu bilgilerle geri de yüklenemez. Bu tip işlemlerden önce veritabanını komple yedeklemeniz tavsiye edilir."
"Deleting a store will not delete the information associated with the store (e.g. categories, products, etc.), but the store will not be able to be restored. It is suggested that you create a database backup before deleting the store.","Bir mağazayı sildiğinizde bu mağazaya bağlı olan bilgiler silinmez (örnek kategoriler, ürünler, vs.), ama mağaza bu bilgilerle geri de yüklenemez. Bu tip işlemlerden önce veritabanını komple yedeklemeniz tavsiye edilir."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Bir sipariş onay e-maili e-mail adresinize yollandı. Bu mesajda siparişinizin detayıyla beraber siparişinizi takip edebileceğiniz adres de bulunmaktadır."
