"Custom currency symbols were applied successfully.","Özel para birimi sembolleri başarıyla uygulandı."
"Manage Currency","Para Birimlerini Yönet"
"Manage Currency Rates","Döviz Kurlarını Yönet"
"Rates","Döviz Kurları"
"Save Currency Symbols","Para Birimi Sembollerini Kaydet"
"Symbols","Semboller"
"System","Sistem"
"Use Default","Varsayılanı Kullan"
"Use Standard","Standart Ayarı Kullan"
"Use Website","Websitesi Ayarını Kullan"
"--------------- v 1.8.0.0 2014-05-07 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Currency","Para Birimi"
"Symbol","Sembol"
"--------------- v 1.8.0.0 2014-05-07 SONU --------------------","////////////////////////////////////////////////////////////////////////"
