"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","
Sitemizde hesap açarak, daha hızlı alışveriş yapabilir, siparişinizi birden fazla adrese gönderebilir, hesabınızdan bütün geçmiş bilgilerinize erişebilir ve daha bir çok özellikten faydalanabilirsiniz..."
"Group ""%s"" can not be deleted"," ""%s"" adlı grup silinemiyor"
"Invalid attribute option specified for attribute %s (%s), skipping the record","%s (%s) için hatalı özellik seçeneği girildi, kayıt atlanıyor"
"Invalid option id specified for %s (%s), skipping the record","%s (%s) için hatalı seçenek numarası, kayıt atlanıyor"
"You are currently subscribed to 'General Subscription'.","'Genel Abonelik' duyurumuza abone oldunuz."
"* Required Fields","* Doldurulması Zorunlu Alanlar"
"Subscribe","Abone Ol"
"Last date subscribed","Abone olduğu son tarih"
"Last date unsubscribed","Abonelikten çıktığı son tarih"
"Name","Adı"
"Missing firstname, skipping the record","Adı girilmedi, kayıt atlanıyor"
"First Name","Adınız"
"Qty","Adet"
"Street Address","Adres"
"Address","Adres"
"Street Address 2","Adres 2"
"Address Information","Adres Bilgisi"
"Address Book","Adres Defteri"
"Go to Address Book","Adres Defterine Git"
"You have no additional address entries in your address book.","Adres defterinizde başka adres yok."
"You have no additional entries in your address book.","Adres defterinizde başka adres yok."
"You have no primary entries in your address book.","Adres defterinizde birincil adres(ler)iniz yok."
"You have no default billing address in your address book.","Adres defterinizde birincil fatura adresiniz yok."
"You have no default shipping address in your address book.","Adres defterinizde birincil teslimat adresiniz yok."
"Add New Address","Adres Ekle"
"Edit Address Entry","Adres Kaydını Düzenle"
"The address was successfully saved","Adres kaydedildi"
"The address was successfully deleted","Adres silindi"
"There was an error while deleting the address","Adres silinirken hata oluştu"
"Edit Address","Adresi Düzenle"
"Save Address","Adresi Kaydet"
"Can't save address","Adresi kaydetme"
"Delete Address","Adresi Sil"
"Addresses","Adresler"
"Manage Addresses","Adresleri Yönet"
"Shopping Cart","Alışveriş Sepeti"
"Shopping Cart - %d item(s)","Alışveriş Sepeti - %d ürün var"
"Continue Shopping","Alışverişe Devam"
"Ship to First name","Alıcı Adı"
"Ship to Last name","Alıcı SoyAdı"
"Never","Asla"
"Config","Ayar"
"City","İlçe"
"Password","Şifre"
"Confirm Password","Şifre (Tekrar)"
"Change Password","Şifre Değiştir"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","Şifre en az 6 harf olmalıdır. Baştaki veya sondaki boşluk görmezden gelinecektir."
"Password Options","Şifre Seçenekleri"
"Password Management","Şifre Yönetimi"
"Forgot Email Sender","Şifremi Unuttum E-mail Göndericisi"
"Forgot Email Template","Şifremi Unuttum E-mail Teması"
"Retrieve your password here","Şifrenizi Buradan Alabilirsiniz"
"Forgot Your Password?","Şifrenizi mi unuttunuz ?"
"Save Password","Şifreyi Kaydet"
"There are no items in customer's shopping cart at the moment","Şu an müşterinin sepeti boş"
"There are no items in customer's shopping cart at the moment","Şu an müşterinin sepeti boş"
"Action","İşlem"
"Cancel","İptal"
"Refunded","Ücret İadesi Yapıldı"
"Country","Ülke"
"Product","Ürün"
"Product name","Ürün Adı"
"Product Name","Ürün Adı"
"No Items Found","Ürün bulunamadı"
"Product Tags","Ürün Etiketleri"
"No product collections found","Ürün listesi bulunamadı"
"Product ID","Ürün No"
"Product Reviews","Ürün Yorumları"
"Log Out","Çıkış"
"You're now Logged Out","Çıkış yaptınız..."
"Online","Bağlı"
"Offline","Bağlı Değil"
"Lifetime Sales","Bütün Satışlar"
"Pending","Beklemede"
"Unknown","Bilinmeyen"
"Primary Billing Address","Birinci Fatura Adresi"
"Primary Shipping Address","Birinci Teslimat Adresi"
"Use as My Primary %s Address","Birincil %s adresim olarak kullan"
"You have not set a primary billing address.","Birincil fatura adresi ayarlamadınız."
"Use as my default billing address","Birincil fatura adresim olarak kullan"
"You have not set a primary shipping address.","Birincil teslimat adresi ayarlamadınız."
"Use as my default shipping address","Birincil teslimat adresim olarak kullan"
"This is My Primary %s Address","Bu adres benim birincil %s adresim"
"The address does not belong to this customer","Bu adres bu müşteriye ait değil"
"Are you sure you want to cancel adding of this address?","Bu adres(ler)in eklenmesini iptal etmek istediğinizden  istediğinizden emin misiniz ?"
"Are you sure you want to delete this address?","Bu adresleri silmek istediğinizden emin misiniz ?"
"This email address was not found in our records","Bu e-mail adresi kayıtlarımızda yok"
"This customer has no saved addresses.","Bu müşteriye ait kayıtlı adres bulunamadı."
"Are you sure the you want to remove this item?","Bunu silmek istediğinizden emin misiniz ?"
"Are you sure that you want to remove this item?","Bunu silmek istediğinizden emin misiniz ?"
"CSV","CSV"
"Edit","Düzenle"
"Details","Detaylar"
"Paused","Duraklatıldı"
"Status","Durum"
"Newsletter Subscription","Duyuru Aboneliği"
"Unsubscribe from newsletter","Duyuru aboneliğini iptal et"
"Newsletter Received","Duyuru Alındı"
"Newsletter Start","Duyuru Başlangıcı"
"Newsletter Information","Duyuru Bilgisi"
"No Newsletter Found","Duyuru bulunamadı"
"Edit Newsletters","Duyuru Listelerini Düzenle"
"Edit Newsletter Subscription","Duyuru Listesi Aboneliğini Düzenle"
"Newsletter Finish","Duyuru Sonu"
"Sign Up for Newsletter","Duyuru ve Kampanya E-Maillerinizi Almak İstiyorum"
"Newsletters","Duyurular"
"Newsletter","Duyurular"
"Subscribe to newsletter","Duyurulara abone ol"
"Subscribed to Newsletter?","Duyurulara abone oldunuz mu ?"
"You are currently not subscribed to our newsletter","Duyurularımıza abone olmadınız"
"You are currently subscribed to our newsletter","Duyurumuza abone oldunuz"
"You are currently subscribed to our newsletter.","Duyurumuza abone oldunuz."
"Sign up for our newsletter","Duyurumuza Kaydolun"
"Please enter your email.","E-Mail adresinizi giriniz."
"Missing email, skipping the record","E-Mail girilmedi, kayıt atlanıyor"
"Additional Address Entries","Ek Adresler"
"Date Added","Ekleme Tarihi"
"Added From","Eklendiği Yer"
"Email","Email"
"Email Address","Email Adresiniz"
"Email Sender","Email Göndericisi"
"Email Template","Email Teması"
"Are you sure?","Emin misiniz ?"
"Invalid current password","Eski şifre hatalı"
"Current Password","Eski Şifre"
"Tag Name","Etiket Adı"
"My Tags","Etiketlerim"
"Ext. Price","Ext. Fiyat"
"State/Province","Şehir"
"Fax","Faks"
"Change Billing Address","Fatura Adresini Değiştir"
"Billing Information","Fatura Bilgisi"
"Company","Firma"
"Price","Fiyat"
"Submit","Gönder"
"Sent","Gönderildi"
"Shipped to Name","Gönderildiği İsim"
"Shipped to First Name","Gönderildiği Kişi Adı"
"Shipped to Last Name","Gönderildiği Kişi SoyAdı"
"Sending","Gönderiliyor"
"Not Sent","Gönderilmedi"
"Visible In","Görüneceği Yer"
"View","Göster"
"Update","Güncelle"
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","Güvenli çıkış işlemi başarılı. 5 saniye içinde ana sayfamıza yönlendirileceksiniz."
"Recent Orders","Geçmiş Siparişler"
"Global","Genel"
"General Subscription","Genel Abonelik"
"Grand Total","Genel Toplam"
"Grand Total: %s","Genel Toplam: %s"
"Back","Geri"
"Log In","Giriş"
"Login","Giriş"
"Login Information","Giriş Bilgisi"
"Back to Login","Giriş Sayfasına Dön"
"Login or Create an Account","Giriş yapın veya Yeni Bir Hesap Açın"
"Edit Group","Grubu Düzenle"
"Group","Grup"
"Group Name","Grup Adı"
"Group Information","Grup Bilgisi"
"Invalid attribute set specified, skipping the record","Hatalı özellik seti seçildi, kayıt atlanıyor"
"Invalid email address","Hatalı E-Mail adresi"
"Invalid login or password","Hatalı kullanıcı adı veya şifre"
"Invalid customer data","Hatalı müşteri verisi"
"All","Hepsi"
"My Account","Hesabım"
"Change Account Password","Hesap Şifresini Değiştir"
"Your account balance is: %s","Hesap Bakiyeniz : %s"
"Account Information","Hesap Bilgisi"
"Account information was successfully saved","Hesap bilgisi kaydedildi"
"Edit Account Information","Hesap Bilgisini Düzenle"
"Create an Account","Üye Ol"
"Account Dashboard","Hesap Kontrol Paneli"
"Account Sharing Options","Hesap Paylaşma Seçenekleri"
"You have placed no products yet.","Hiç ürün eklemediniz."
"You are currently not subscribed to any newsletter.","Hiç bir duyuruya abone olmadınız."
"You have placed no orders yet.","Hiç sipariş vermediniz."
"Send welcome email","Hoşgeldin e-maili gönder"
"Hello, %s!","Hoşgeldiniz, %s!"
"HTML","HTML"
"IP Address","IP Adresi"
"Disabled","Kapalı"
"Records for ""","Kayıtlar """
"Registered Customers","Kayıtlı Müşteriler"
"Saved ","Kaydedildi "
"Save","Kaydet"
"Personal Information","Kişisel Bilgi"
"Edit Personal Information","Kişisel Bilgiyi Düzenle"
"SKU","Ürün Kodu"
"Contact Information","İletişim Bilgisi"
"My Dashboard","Kontrol Panelim"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Kontrol panelinizden geçmiş işlemlerinizi görebilir, kişisel bilgilerinizi güncelleyebilir, şifrenizi değiştirebilirsiniz. Görmek veya düzeltmek istediğiniz şeylerle ilgili linkler aşağıdadır."
"Subject","Konu"
"User description","Kullanıcı açıklaması"
"Login and password are required","Kullanıcı Adı ve Şifre gereklidir"
"Please enter your email below and we'll send you a new password.","Lütfen şifre gönderebilmemiz için, üye olurken kullandığınız e-mail adresini giriniz."
