"File ""%s"" don't exist","""%s"" dosyası bulunamadı"
"Method ""%s"" not defined in adapter %s","""%s"" yöntem %s adlı çeviricide belirtilmedi"
"Found %d rows","%d satır bulundu"
"Starting %s :: %s","%s :: %s Başlatılıyor"
"Less than a minute","1 dakikadan az"
"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Bağlantı</a>"
"Error field mapping! Fields list for mapping is not defined","Alan eşleştirmede hata ! Alan eşleşmesi icin alan adları verilmedi"
"Skip undefined row","Ayarlanmamış satırı atla"
"Processed records: %s","İşlenen kayıt sayısı : %s"
"Declared adapter %s not found","Belirtilen çevirici %s bulunamadı"
"minutes","dakika"
"minute","dakika"
"Error occured during file opening: ""%s""","Dosya açılırken hata oluştu : ""%s"""
"Could not save file: %s","Dosya kaydedilemedi : %s"
"Could not load file: ""%s""","Dosya yükelenemedi : ""%s"""
"Destination folder ""%s"" is not a directory","Hedef dizin ""%s"" dizin değil"
"Destination folder ""%s"" is not a writeable","Hedef dizin ""%s"" için yazma hakkı yok"
"Destination folder ""%s"" does not exist or not access to create","Hedef dizin ""%s"" yok veya oluşturulamıyor"
"Access denied to destination folder ""%s""","Hedef dizine erişim engellendi ""%s"""
"Saved successfully: ""%s"" [%d byte(s)]","Kaydedildi : ""%s"" [%d bayt]"
"Memory Used: %s","Kullanılan Hafıza : %s"
"Please declare ""adapter"" and ""method"" node first","Lütfen ""çevirici"" ve ""yöntem"" kısımlarını belirleyiniz"
"hours","saat"
"hour","saat"
"Sheet 1","Sayfa 1"
"ETA: %s","Tahmini Süre: %s"
"Done","Tamamlandı"
"Dry run set, stopping execution","Temiz çalıştırma ayarlandı, normal çalıştırma durduruluyor"
"Total records: %s","Toplam kayıt sayısı : %s"
"Loaded successfully: ""%s""","Yüklendi : ""%s"""
"---------------version 1.2 - siteden cekilen dosyalarla eklendi--------------------","////////////////////////////////////////////////////////////////////////"
"File ""%s"" don\'t exist"," ""%s"" dosyası bulunamıyor"
"--------------- v 1.4.2.0 2010-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Access denied to destination folder ""%s"".","Hedef klasöre erişim engellendi ""%s""."
"An error occurred while opening file: ""%s"".","Dosya açılırken hata oluştu : ""%s""."
"Could not load file: ""%s"".","Dosya yüklenemedi : ""%s""."
"Could not save file: %s.","Dosya yüklenemedi : %s."
"Declared adapter %s was not found.","Belirtilen adaptör %s bulunamadı."
"Destination folder ""%s"" does not exist or there is no access to create it.","Hedef klasör ""%s"" bulunamıyor veya oluşturmak için yetki yok."
"Destination folder ""%s"" is not a directory.","Hedef klasör ""%s"" bir klasör değil."
"Destination folder ""%s"" is not writable.","Hedef klasör ""%s"" için yazma yetkisi yok."
"Dry run set, stopping execution.","Önizleme çalıştırması için uygulama durduruluyor."
"Error in field mapping: field list for mapping is not defined.","Alan eşlemesinde hata : eşleme için alan listesi oluşturulmamış."
"File ""%s"" does not exist.","Dosya ""%s"" bulunamadı."
"Found %d rows.","%d satır bulundu."
"Loaded successfully: ""%s"".","Başarıyla yüklendi : ""%s""."
"Method ""%s"" not defined in adapter %s.","Metod ""%s"", %s adaptörü içinde belirtilmedi."
"Method ""%s"" was not defined in adapter %s.","Metod ""%s"", %s adaptörü içinde belirtilmedi."
"Please declare ""adapter"" and ""method"" nodes first.","Lütfen önce ""adaptör"" ve ""metod"" uçlarını belirtin."
"Saved successfully: ""%s"" [%d byte(s)].","Kaydedildi : ""%s"" [%d bayt]."
"Skip undefined row.","Ayarlanmamış satırı atla."
"The destination folder ""%s"" does not exist or there is no access to create it.","Hedef klasör ""%s"" bulunamadı veya oluşturmak için yetki yok."
"--------------- v 1.4.2.0 2010-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.6.2.0 2012-01-22 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Actions XML is not valid.","İşlemler XML geçerli değil."
"Profile with the same name already exists.","Aynı adla bir profil zaten var."
"--------------- v 1.6.2.0 2012-01-22 SONU --------------------","////////////////////////////////////////////////////////////////////////"
