"Loaded %d records"," %d kayıt yüklendi"
"Attribute '%s' used in configurable products.","'%s' adlı özellik ayarlanabilir ürünlerde kullanıldı."
"No options root node found","Ana seçenek bölümü bulunamadı"
"Attribute with the same code","Aynı kodda bir özellik zaten var"
"Frontend label is not defined","Ön Sayfa başlığı belirlenmedi"
"Value of attribute ""%s"" must be unique","Özellik değeri olarak girilen ""%s"" eşsiz olmalı"
"Unknown parameter","Bilinmeyen parametre"
"Attribute used in configurable products.","Bu özellik ayarlanabilir ürünlerde kullanıldı."
"Joined field with this alias (%s) is already declared","Bu takma adla birleştirilen alan (%s) zaten var"
"Joined field or attribute expression with this alias is already declared","Bu takma adla birleştirilen alan veya özellik anlatımı zaten var"
"Joined field with this alias is already declared","Bu takma adla birleştirilen alan zaten var"
"Yes","Evet"
"Valid store_id is expected!","Geçerli store_id bekleniyor !"
"Invalid attribute name: %s","Hatalı özellik adı : %s"
"Wrong attribute group ID","Hatalı özellik grup No"
"Invalid attribute requested: %s","Hatalı özellik istendi : %s"
"Wrong attribute ID","Hatalı özellik No"
"Wrong attribute set ID","Hatalı özellik seti No"
"Invalid attribute type","Hatalı özellik tipi"
"Invalid attribute specified: %s","Hatalı özellik verildi : %s"
"Invalid joined fields","Hatalı birleştirilmiş alan(lar)"
"Invalid store specified","Hatalı mağaza seçildi"
"Attempt to add an invalid object","Hatalı nesne eklenmeye çalışıldı"
"Invalid alias, already exists in joined attributes","Hatalı takma ad, birleştirilen özelliklerde bu ad zaten var"
"Invalid entity specified","Hatalı varlık belirtildi"
"Wrong entity ID","Hatalı varlık No"
"Invalid entity_id, skipping the record","Hatalı varlık numarası (entity_id), kayıt atlanıyor"
"Invalid entity type","Hatalı varlık tipi"
"Invalid entity_type specified: %s","Hatalı varlık tipi (entity_type) belirtildi: %s"
"Invalid entity supplied","Hatalı varlık verildi"
"Invalid entity supplied: %s","Hatalı varlık verildi: %s"
"Invalid data object key","Hatalı veri nesnesi anahtarı"
"Invalid foreign key","Hatalı yabancı anahtar"
"No","Hayır"
"Problem loading a record, aborting. Error: %s","Kayıt yüklenirken hata oluştu, iptal ediliyor. Hata: %s"
"Saved ","Kaydedildi "
"Problem saving a record, aborting. Error: ","Kaydedilirken hata oluştu, iptal ediliyor. Hata: "
"Problem saving the collection, aborting. Error: %s","Liste kaydedilirken hata oluştu, iptal ediliyor. Hata: %s"
"Problem loading the collection, aborting. Error: %s","Liste okunurken hata oluştu, iptal ediliyor. Hata: %s"
"Invalid character encountered in increment ID: %s","Otomatik artan sayaç verisinde hatalı karakter bulundu : %s"
"Entity is not initialized","Varlık başlatılamadı"
"Entity collections expected","Varlık listeleri bekleniyor"
"Entity collection expected","Varlık listesi bekleniyor"
"Default option value is not defined","Varsayılan seçenek değeri belirlenmedi"
"Data integrity: No header row found for attribute","Veri bütünlüğü: Bu özellik için başlık satırı bulunamadı"
"---------------version 1.2 - siteden cekilen dosyalarla eklendi--------------------","////////////////////////////////////////////////////////////////////////"
"Attribute set with the ""%s"" name already exists","""%s"" adıyla bir özellik seti zaten var"
"EAV types and attributes","EAV tipleri ve özellikleri"
"Failed to load node %s from config.","Ayarlardan %s düğümü okunamadı."
"No options found in config node %s"," %s düğümü için seçenekler alınamadı"
"Scope must not be changed, because the attribute is used in configurable products.","Havuz değiştirilemez, çünkü bu özellik bazı ayarlanabilir ürünlerde kullanıldı."
"The attribute code \'%s\' is reserved by system. Please, try another attribute code.","\'%s\' özellik kodu sistem tarafından ayrılmış. Lütfen başka bir kod kullanınız."
