"Enable","Açık"
"Google Analytics","Google Analytics"
"Google API","Google API"
"Account number","Hesap Numarası"
"Account Number","Hesap Numarası"
"--------------- v 1.8.0.0 2014-05-07 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Enable IP anonymization","Ip gizlemeyi aç"
"--------------- v 1.8.0.0 2014-05-07 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.9.2.2 2016-05-21 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Type","Tip"
"Universal Analytics","Universal Analytics"
"--------------- v 1.9.2.2 2016-05-21 SONU --------------------","////////////////////////////////////////////////////////////////////////"
