"* Select shipping method","* Teslimat Yöntemini Seçiniz"
"Enable","Açık"
"Checkout Image Style","Alışveriş Bitim Resminin Stili"
"Hide Cart Contents During Checkout","Alışveriş Sonlandırılırken Sepet İçeriğini Gizle"
"Continue Shopping URL","Alışverişe Devam Adresi"
"AVS Status: %s","AVS Durumu : %s"
"Fulfillment: %s -> %s","İfa : %s -> %s"
"Cart Discount","İndirim"
"Virtual item to reflect discount total","İndirim toplamını yansıtmak için sanal ürün"
"Optional, leave empty for home page.","İsteğe bağlıdır, ana sayfa için boş bırakınız."
"Expiration: %s","Bitiş : %s"
"CID Status: %s","CID Durumu : %s"
"Financial: %s -> %s","Finansal : %s -> %s"
"Sandbox","Güvenli Kutu"
"Google API","Google API"
"Google Checkout: %s","Google Ödeme : %s"
"Google Checkout","Google Ödemesi"
"Google Checkout Shipping - Merchant Calculated","Google Checkout Teslimat - Satıcının Hesaplaması"
"Google Checkout Shipping - Carrier Calculated","Google Checkout Teslimat - Taşıyıcının Hesaplaması"
"Google Checkout Shipping - Flat Rate","Google Checkout Teslimat - Tek Fiyat"
"Google Refund:","Google Geri Ödeme :"
"Google Authorization:","Google Kullanıcı Onayı :"
"Google Buyer Id: %s","Google Müşteri No : %s"
"Google Risk Information:","Google Risk Bilgisi :"
"Google order status change:","Google sipariş durum değişikliği :"
"Google Order Number: %s","Google Sipariş No : %s"
"Google Charge:","Google Tahsilatı :"
"Auto-generated from GoogleCheckout Charge","GoogleCheckout tahsilatıyla otomatik oluşturuldu"
"Debug","Hata Ayıklama"
"IP Address: %s","IP Adresi: %s"
"CC Partial: xxxx-%s","K.K. Numara Sonu : xxxx-%s"
"Eligible for protection: %s","Koruma için seçilebilir : %s"
"Invoice auto-created: %s","Otomatik Oluştutulan Fatura : %s"
"Merchant Key","Satıcı Anahtarı"
"Merchant ID","Satıcı No"
"Buyer account age: %s days","Satın Alanın Site Geçmişi : %s gün"
"Latest Refund: %s","Son geri ödeme : %s"
"Latest Charge: %s","Son tahsilat : %s"
"Amount: %s","Toplam : %s"
"Total Refunded: %s","Toplam Geri Ödeme : %s"
"Total Charged: %s","Toplam Tahsilat : %s"
"Default price:","Varsayılan Fiyat :"
"New order status","Yeni sipariş durumu"
"Location","Yer"
"---------------version 1.2 - siteden cekilen dosyalarla eklendi--------------------","////////////////////////////////////////////////////////////////////////"
"Add","Ekle"
"Add Shipping Method","Teslimat Yöntemi Ekle"
"Allowed Methods","İzin Verilen Yöntemler"
"Carrier Calculated Methods","Taşıyıcı Tarafından Hesaplanan Yöntemler"
"Default Package Height (in)","Varsayılan Paket Yüksekliği (inç)"
"Default Package Length (in)","Varsayılan Paket Uzunluğu (inç)"
"Default Package Width (in)","Varsayılan Paket Genişliği (inç)"
"Default price for methods","Yöntemler için varsayılan fiyat"
"Delivery Address Category","Teslimat Adresi Kategorisi"
"Delivery schedule","Teslimat tarifesi"
"Disable Default Tax Tables","Varsayılan Vergi Tablolarını devre dışı bırak"
"Enable Carrier Calculated","Taşıyıcı Tarafından Hesaplanan Tarifeleri Kullan"
"Enable Digital Delivery","Sayısal Teslimat Kullan"
"Enable Flat Rate","Tek Fiyat Kullan"
"Enable Merchant Calculated","Satıcı Tarafından Hesaplanan Tarifeleri Kullan"
"Enable this if your checkout request is too big and being cut off.","Eğer alışveriş bitirme verisi çok büyükse bu seçeneği seçiniz."
"Free Shipping","Ücretsiz Teslimat"
"Google Checkout Shipping - Digital Delivery","Google Checkout Teslimi - Sayısal Teslimat"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","
Eğer etkinse, Google Checkout butonuna basıldığında Sepet içeriği gizlenir, ""Sepet Düzenle"" bağlantına basıldığında görünür hale gelir."
"Is Buyer Willing To Receive Marketing E-Mails: %s","Alıcı Tanıtım E-Mailleri Almak İstiyor mu : %s"
"Large - %s","Geniş - %s"
"Medium - %s","Orta - %s"
"Method","Yöntem"
"No","Hayır"
"Rate 1 Amount","Oran 1 Toplam"
"Rate 1 Ship To Applicable Countries","Tüm Ülkelere Teslimat İçin Oran 1 "
"Rate 1 Ship to Specific Countries","Belirlenen Ülkelere Teslimat İçin Oran 1"
"Rate 1 Title","Rate 1 Başlık"
"Rate 2 Amount","Oran 2 Toplam"
"Rate 2 Ship To Applicable Countries","Tüm Ülkelere Teslimat İçin Oran 2 "
"Rate 2 Ship to Specific Countries","Belirlenen Ülkelere Teslimat İçin Oran 2"
"Rate 2 Title","Rate 2 Başlık"
"Rate 3 Amount","Oran 3 Toplam"
"Rate 3 Ship To Applicable Countries","Tüm Ülkelere Teslimat İçin Oran 3 "
"Rate 3 Ship to Specific Countries","Belirlenen Ülkelere Teslimat İçin Oran 3"
"Rate 3 Title","Rate 3 Başlık"
"Remove","Sil"
"Required for live Google Checkout transactions.","Gerçek Google Checkout işlemleri için gereklidir."
"Secure Callback URL","Güvenli Geri Çağrım Adresi"
"Small - %s","Küçük - %s"
"Transparent","Transparan"
"United Kingdom","İngiltere"
"United States","A.B.D."
"White Background","Beyaz Arka Plan"
"You will be redirected to GoogleCheckout in a few seconds.","Birkaç saniye içinde GoogleCheckout sayfasına yönlendirileceksiniz."
"--------------- v 1.3 2009-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Hide Cart Contents","Sepet içeriğini gizle"
"--------------- v 1.3 2009-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.4.2.0 2010-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"<strong style=""color:red"">Warning!</strong> This option disables the merchant calculated shipping. With this option, Google API ignores any attempt to affect shipping prices.","<strong style=""color:red"">Dikkat!</strong> Bu seçenek satıcı tarafından teslimat ücreti hesaplamayı devreden çıkarır. Bu seçenek açıkken Google API teslimat hesaplamaz."
