"%s Index process is working now. Please try run this process later.","%s İndeksleme işlemi sürüyor. Lütfen bu işlemi çalıştırmayı bir süre sonra tekrar deneyin."
"%s index was rebuilt.","%s indeksi yeniden oluşturuldu."
"'%s' Index Process Information","'%s' İndeks İşleme Bilgisi"
"Action","İşlem"
"Cannot initialize the indexer process.","İndek işleticisi başlatılamadı."
"Change Index Mode","İndeksleme Modunu Değiştir"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","<a href=""%s"">Buraya tıklayarak</a> Önbellek Yönetimi bölümüne gidip önbellek tiplerini tazeleyiniz."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","<a href=""%s"">Buraya tıklayarak</a> İndeks Yönetimi bölümüne gidip gereken indeksleri yenileyiniz."
"Description","Açıklama"
"Disable","Kapat"
"Enable","Aç"
"General","Genel"
"Index","İndeks"
"Index Description","İndeks Açıklaması"
"Index Management","İndeks Yönetimi"
"Index Mode","İndeks Modu"
"Index Name","İndeks Adı"
"Index mode","İndeks modu"
"Indexer code is not defined.","İndeksleyici kodu belirlenmedi."
"Indexer model is not defined.","İndeksleyici modeli belirlenmedi."
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","İndeksleyici modeli Mage_Index_Model_Indexer_Abstract modelini extend etmeli."
"Last Run","Son Çalışma"
"Manual Update","Elle Güncelleme"
"Mode","Mod"
"Never","Asla"
"One or more of the Indexes are not up to date:","Bir veya daha fazla indeks güncel değil:"
"Pending Events","Bekleyen Olaylar"
"Please select Index(es)","Lütfen İndeks(leri) seçiniz"
"Please select Indexes","Lütfen İndeksleri Seçiniz"
"Process Information","İşlem Bilgisi"
"Processing","İşlem devam ediyor"
"Ready","Hazır"
"Refresh","Tazele"
"Reindex Data","İndeksle"
"Reindex Required","Yeniden İndeksleme Gerekiyor"
"Status","Durum"
"System","Sistem"
"The index has been saved.","İndeks kaydedildi."
"There was a problem with reindexing process.","Yeniden indeksleme işleminde sorun oluştu."
"There was a problem with saving process.","İşlem kaydedilirken sorun oluştu."
"Total of %d index(es) have changed index mode.","Toplam %d indeksin indeks modu değiştirildi."
"Total of %d index(es) have reindexed data.","Toplam %d indeksin verisi yeniden oluşturuldu."
"Update on Save","Kaydedilince Güncelle"
"--------------- v 1.6.2.0 2012-01-22 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"No","Hayır"
"Update Required","Güncelleme Gerekiyor"
"Updated At","Güncellendi"
"Yes","Evet"
"--------------- v 1.6.2.0 2012-01-22 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.7.0.0-alpha 2012-04-28 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Delete","Sil"
"Revoke","Geri Al"
"--------------- v 1.7.0.0-alpha 2012-04-28 SONU --------------------","////////////////////////////////////////////////////////////////////////"
