"PHP Extension ""%s"" must be loaded"," ""%s"" adlı PHP kütüphanesi yüklü olmalıdır"
"Url ""%s"" is invalid","""%s"" adres hatalı "
"Url ""%s"" is not accessible","""%s"" adrese ulaşılamıyor"
"Path ""%s"" must be writable","""%s"" klasörü için yazma hakkı vermelisiniz"
"PHP Extension '%s' loaded","'%s' adl PHP kütüphanesi yüklendi"
"Use Web Server (Apache) Rewrites","(Apache) Yeniden Yazma (Rewrite) Kullan"
"(Optional. Leave blank for no prefix)","(İsteğe bağlı. Önad kullanmayacaksanız boş bırakınız)"
"(Make sure you keep it in a safe place.)","(Güvenli bir yerde sakladığınızdan emin olunuz.)"
"(ver. %s)","(vers. %s)"
"I agree to the above terms and conditions","Aşağıdaki kullanım koşullarını okudum ve onayladım"
"Get ready to experience Open-Source eCommerce Evolved.","Açık Kaynaklı Elektronik Ticaret deneyimine hazırlanın."
"First Name","Adınız"
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","Alternatif olarak kendiniz de 'Elle indirme ve güncelleme' yöntemini kullanabilirsiniz."
"Please make sure that <code>mod_rewrite</code> is enabled in Apache configuration.","Apache ayarlarında  <code>mod_rewrite</code>'ın açık olduğundan emin olunuz."
"Configuration","Ayarlar"
"You're All Set","Ayarlarınız kaydedildi"
"User Password","Şifre"
"Password","Şifre"
"Password Confirmation","Şifre (Tekrar)"
"Confirm Password","Şifre (Tekrar)"
"Encryption Key","Şifreleme Anahtar Kelimesi"
"Download","İndir"
"Choose this if you would like to test frontend and backend functionality.","Önsayfa ve Yönetim bölümlerini test etmek için buraya tıklayınız."
"After successfull installation please click the button below.","Başarılı kurulumdan sonra aşağıdaki butona basınız."
"Connection","Bağlantı"
"Report All Bugs","Bütün Hataları Rapor Ediniz"
"This Url is invalid","Bu adres hatalı"
"Enable this option only if you have SSL available.","Bu özelliği sadece SSLiniz hazırsa kullanınız."
"Currently this is the most stable state available for Magento packages.","Bu seçenek Magento Paketlerinin kurulumu açısından en güvenilir yoldur."
"Check out our","Bunlara da bakınız"
"Run this in your shell from Magento root folder:","Bunu Magento ana dizininde konsolu kullanarak çalıştırınız :"
"Continue","Devam"
"In other cases you will need to make Magento files writeable for the user that the web server process is running under.","Diğer durumlarda Magento klasörlerine ve dosyalarına web işlevlerinden yazma izni vermelisiniz."
"Required Fields","Doldurulması zorunlu alanlar"
"If you are a developer and would like to have the latest public updates, choose this option.","Eğer bir programcıysanız ve son güncellemelerle, genele açık olmayan yenilikleri görmek istiyorsanız burayı işaretleyin."
"If you are running install wizard over previously downloaded and installed Magento installation, proceed with this method.","Eğer daha önceden indirip kurulmuş Magento üzerinde kurulum sihirbazını çalıştırıyorsanız bu yöntemi kullanın."
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Eğer HTTP Kimlik Doğrulaması kullanılıyorsa ve otomatik olarak Güvenli URL onaylanamıyorsa burayı işaretleyiniz."
"If you do not wish or are not able to have Magento folders writeable for the web process, you could use PEAR executable located in the root of Magento installation.","Eğer Magento dizinlerine web uygulamaları tarafından yazılmasını istemiyorsanız, Magento kurulum dizinindeki PEAR yazılımını kullanın."
"If your server is running on MS Windows, most probably you will not need to change anything.","Eğer MS Windows sunucu üzerinde çalışıyorsanız hiç bir değişiklik yapmanıza gerek yoktur."
"If you have downloaded the full package or installed Magento through SVN, you should skip packages installation and validation by clicking the button below.","Eğer tam paket indirip kurduysanız veya SVN üzerinden kurulum yaptıysanız , aşağıdaki butona tıklayarak paket kurulum ve onaylama kısmını atlayabilirsiniz."
"Continue After Manual Download","Elle İndirme işleminden sonra Devam"
"Manual Downloads and Upgrades","Elle indirme ve güncelleme"
"Email","Email"
"Email Address","Email Adresi"
"Secure Base URL","Güvenli Adres"
"Skip Secure URL validation before next step","Güvenli Adres kontrolünü atla"
"Use Secure URLs (SSL)","Güvenli Adresi Kullan (SSL)"
"Login Information","Giriş Bilgisi"
"Personal Information","Kişisel Bilgi"
"Username","Kullanıcı"
"User Name","Kullanıcı Adı"
"Installation","Kurulum"
"Installation Guide","Kurulum Rehberi"
"Please note that it is much less stable than beta.","Lütfen Dikkat ! Bu beta sürümden daha az stabildir."
"Please set all required settings before clicking Continue","Lütfen gerekli olan tüm ayarları yaptıktan sonra Devam tuşuna basınız"
"Go to Frontend","Mağaza Ön Sayfasına Git"
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Mağazanıza gitmeden önce, bir şifreleme kelimesi belirleyiniz (Magento bu kelimeyi kullanarak güvenlik gerektiren bilgileri daha iyi şifreleyecektir)."
"Magento","Magento"
"Download Magento Core Modules and Updates","Magento Ana Modüller ve Güncellemeler"
