" Copy"," Kopyala"
"Subscriber","Abone"
"Subscribe","Abone Ol"
"No subscribers selected","Abone seçilmedi"
"Cannot delete subscriber","Abone silinemedi"
"Subscribers From","Aboneler"
"Subscribers","Aboneler"
"Cannot save your subscription: %s","Aboneliğiniz kaydedilemedi : %s"
"There was a problem with the subscription: %s","Abonelik esnasında bir sorun oluştu : %s"
"There was a problem with the subscription","Abonelik işlemi esnasında bir hata oluştu"
"You have been successfully unsubscribed.","Abonelik işlemi tamamlandı."
"Unsubcribed","Abonelik iptal edildi"
"Unsubscribe","Abonelik iptali"
"There was a problem with the un-subscription.","Abonelik iptali işlemi esnasında bir hata oluştu."
"Unsubscription Email Sender","Abonelik iptali için Email Göndericisi"
"Unsubscription Email Template","Abonelik iptali için Email Teması"
"There was an error while saving your subscription","Abonelik kaydı esnasında bir sorun oluştu "
"The subscription was successfully saved","Abonelik kaydı tamamlandı"
"Your subscription was successfully confirmed","Abonelik onaylama işleminiz tamamlandı"
"Subscription Options","Abonelik Seçenekleri"
"Not activated","Aktifleştirilmedi"
"Recipients","Alıcılar"
"Cannot mark as received subscriber","Alınan abone olarak işaretlenemedi"
"Action","İşlem"
"Resume","İşleme Devam Et"
"Processed","İşlendi"
"Cancel","İptal"
"Cancelled","İptal edildi"
"Preview","Önizleme"
"Start","Başla"
"Are you sure that you want to strip all tags?","Bütün HTML taglarını kaldırmak istediğinizden emin misiniz ?"
"Are you sure that you want to delete this template?","Bu Temau silmek istediğinizden emin misiniz ?"
"Convert to Plain Text","Düz yazıya çevir"
"Pause","Duraklat"
"Paused","Duraklatıldı"
"Status","Durum"
"Newsletter","Duyuru"
"Newsletter Subscribers","Duyuru Aboneleri"
"Newsletter subscription success","Duyuru aboneliği tamamlandı"
"Newsletter unsubscription success","Duyuru abonelik iptali tamamlandı"
"Newsletter subscription confirmation","Duyuru abonelik onayı"
"Newsletter Subscriptions","Duyuru Abonelikleri"
"Newsletter Problem Reports","Duyuru Gönderimi Problem Raporları"
"Queue Newsletter","Duyuru Kuyruğu"
"Newsletter Queue","Duyuru Kuyruğu"
"Sign up for our newsletter:","Duyuru listemize abone olun :"
"Newsletter Sign-up","Duyuru Listesi Üyeliği"
"Sign me up","Duyuru Listesine Katıl"
"Newsletter Message Preview","Duyuru Mesajı Önizleme"
"Newsletter Templates","Duyuru Temaları"
"Edit Newsletter Template","Duyuru Temasını Düzenle"
"Create Newsletter Template","Duyuru Temau oluştur"
"Edit Newsletter","Duyuruyu Düzenle"
"View Newsletter","Duyuruyu Göster"
"Save Newsletter","Duyuruyu Kaydet"
"Enter your email address","E-mail adresinizi giriniz"
"Toggle Editor","Editör Seçimi"
"Subcribed","Eklendi"
"Date Added","Eklendiği Tarih"
"Email","Email"
"Save As","Farklı Adla Kaydet"
"Form was filled incorrectly","Form hatalı dolduruldu"
"Sender","Gönderici"
"Sender Name","Gönderici Adı"
"Sender Email","Gönderici Email Adresi"
"Sent","Gönderildi"
"Sending","Gönderiliyor"
"Not Sent","Gönderilmedi"
"Date Updated","Güncellendiği Tarih"
"Back","Geri"
"Error Code","Hata Kodu"
"Error Text","Hata Mesajı"
"Invalid subscriber ID","Hatalı abone numarası"
"Invalid subscription confirmation code","Hatalı abone onay kodu"
"Invalid subscription ID","Hatalı abonelik numarası"
"Return Html Version","HTML Sürümüne Dön"
"Save And Resume","Kaydet ve Devam Et"
"Subject","Konu"
"Add to Queue","Kuyruğa Ekle"
"Edit Queue","Kuyruğu Düzenle"
"Do you really want to cancel the queue?","Kuyruğu iptal etmek istediğinizden emin misiniz ?"
"Queue Date Start","Kuyruk Başlama Tarihi"
"Queue Start","Kuyruk Başlangıcı"
"Queue Information","Kuyruk Bilgisi"
"Queue Finish","Kuyruk Bitiş Tarihi"
"Queue Subject","Kuyruk Konusu"
"Please select subscriber(s)","Lütfen abone seçiniz"
"Please enter new template name","Lütfen yeni tema adı giriniz"
"Store","Mağaza"
"Store View","Mağaza Görünümü"
"Customer","Müşteri"
"Customer Firstname","Müşteri Adı"
"Customer Lastname","Müşteri Soyadı"
"Message","Mesaj"
"Guest","Misafir"
"ID","No"
"Need to Confirm","Onay bekliyor"
"Confirmation Email Sender","Onay E-Maili için Gönderici"
"Confirmation Email Template","Onay E-Maili Teması"
"Confirmation request has been sent","Onay isteği gönderildi"
"No problems found","Problem bulunamadı"
"Selected problems successfully deleted","Seçilen problemler silindi"
"Selected problem subscribers successfully unsubscribed","Seçilen problemli aboneler listeden çıkarıldı"
"Unsubscribe Selected","Seçili olan abonelikleri iptal et"
"Delete Selected Problems","Seçili problemleri sil"
"Success Email Template","Tamamlandı mesajı için Email Teması"
"Success Email Sender","Tamamlandı mesajı için Mail Gönderici"
"Template Name","Tema Adı"
"Template Content","Tema İçeriği"
"Template Information","Tema Bilgisi"
"No Templates Found","Tema bulunamadı"
"Duplicate of template code","Tema kodunun aynısı"
"Template Subject","Tema Konusu"
"Cannot delete template","Tema silinemedi"
"Template Type","Tema Tipi"
"Preview Template","Temayı Önizle"
"Edit Template","Temayı Düzenle"
"Save Template","Temayı Kaydet"
"Delete Template","Temayı Sil"
"Reset","Temizle"
"Type","Tip"
"Website","Web Sitesi"
"Invalid queue selected","Yanlış kuyruk seçildi"
"New Template","Yeni Duyuru Teması"
"New Newsletter Template","Yeni Duyuru Teması"
"Add New Template","Yeni Tema Ekle"
