"--Please Select--","-- Lütfen Seçiniz --"
"<label>Make Check payable to:</label> %s","<label>Çeki şu isme yazınız :</label> %s"
"<label>Make Check payable to</label>: %s","<label>Çeki şu isme yazınız</label>: %s"
"Enabled","Aktif"
"Month","Ay"
"Payment from applicable countries","İzin verilen bütün ülkelerden tahsilat"
"Can not retrieve payment info model object.","Ödeme bilgisi model nesnesi alınamadı."
"Can not retrieve payment method instance","Ödeme yöntemi örneği alınamadı"
"Can not retrieve payment method model object.","Ödeme yöntemi için bilgi model nesnesi alınamadı."
"Payment Methods","Ödeme Yöntemleri"
"Check / Money order","Çek / Nakit Ödeme"
"Make Check payable to","Çeki Şu İsme Kesiniz"
"Make Check payable to: %s","Çeki Şu İsme Kesiniz: %s"
"Send Check to","Çeki Göndereceğiniz Adres"
"Send Check to:","Çeki Göndereceğiniz Adres:"
"Title","Başlık"
"Payment from Specific countries","Belirli ülkelerden tahsilat"
"Can not configuration for payment method with code: %s","Bu kodla bir ödeme tipi ayarlayamazsınız : %s"
"What is this?","Bu nedir ?"
"Name on Card","Kart Üzerindeki İsim"
"Name on the Card: %s","Kart Üzerindeki İsim: %s"
"Card Verification Number","Kart Güvenlik Numarası"
"Saved CC","Kaydedilmiş Kredi Kartı"
"Credit Card Number","Kredi Kart Numarası"
"Credit Card Number: %s","Kredi Kart Numarası: %s"
"Credit Card Number: xxxx-%s","Kredi Kart Numarası: xxxx-%s"
"Credit Card Verification","Kredi Kart Onayı"
"Credit Card Type","Kredi Kart Tipi"
"Credit Card Type: %s","Kredi Kart Tipi: %s"
"Credit Card Types","Kredi Kart Tipleri"
"Purchase order","Satınalma"
"Zero Subtotal Checkout","Sıfır Toplamla Alışveriş Sonu"
"Sort order","Sıralama"
"Purchase Order Number","Sipariş Numarası"
"Purchase Order Number: %s","Sipariş Numarası : %s"
"Expiration Date","Son Kullanım Tarihi"
"Expiration Date: %s/%s","Son Kullanım Tarihi: %s/%s"
"Year","Yıl"
"New order status","Yeni sipariş durumu"
"---------------version 1.2 - siteden cekilen dosyalarla eklendi--------------------","////////////////////////////////////////////////////////////////////////"
"Maximum Order Total","En Yüksek Sipariş Toplamı"
"Minimum Order Total","En Düşük Sipariş Toplamı"
"Payment Methods Section","Ödeme Yöntemleri Bölümü"
"--------------- v 1.3 2009-08-05 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Automatically invoice all items","Bütün ürünleri otomatik olarak faturalandır"
"--------------- v 1.3 2009-08-05 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.3 2009-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Cannot load configuration for payment method ""%s""","Tahsilat yöntemi için ayarlar okunamadı ""%s"""
"Cannot retrieve payment info model object.","Tahsilat bilgisi model nesnesi alınamadı."
"Cannot retrieve payment method instance","Tahsilat bilgisi model örneği alınamadı"
"Payment ID: %s","Tahsilat No : %s"
"--------------- v 1.3 2009-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.4.2.0 2010-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"%s %s cycle.","%s %s tekrar."
"3D Secure Card Validation","3D Secure Kart Doğrulaması"
"3D Secure Credit Card Validation","3D Secure Kredi Kartı Doğrulaması"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","Gerçek ortam moduna geçmek için değer gerekiyor. CardinalCommerce sözleşmenize bakınız."
"Allow Initial Fee Failure","İlk Ücrete İzin Vermede Hata"
"An internal reference ID is required to save the payment profile.","Ödeme profili kaydetmek için dahili referans numarası gerekmektedir."
"Auto Bill on Next Cycle","Bir sonraki taksitte Otomatik Ödeme Al"
"Automatically Invoice All Items","Tüm Ödemeleri Otomatik Faturalandır"
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","Eğer bir önceki ödeme hata verdiyse, bir sonraki ödemede faturaya ekle."
"Billing Agreement status is not set.","Ödeme Sözleşmesi durumu ayarlanmadı."
"Billing Amount","Fatura Toplamı"
"Billing Frequency","Faturalama Sıklığı"
"Billing Period","Faturalama Aralığı"
"Billing Period Unit","Faturalama Aralığı Birimi"
"Billing period unit is not defined or wrong.","Faturalama Aralığı Birimi ayarlanmadı veya hatalı."
"Cannot retrieve payment method instance.","Ödeme yöntemi örneği okunamadı."
"Cannot retrieve the payment info model object.","Ödeme bilgisi modeli nesnesi okunamadı."
"Cannot retrieve the payment method model object.","Ödeme yönyemi modeli nesnesi okunamadı."
"Centinel API URL","Centinel API URLsi"
"Check / Money Order","Çek / Nakit Ödeme"
"Currency","Para Birimi"
"Currency code is undefined.","Para Birimi Kodu belirlenmedi."
"Customer ID is not set.","Müşteri numarası belirlenmedi."
"Day","Gün"
"Debug Mode","Hata Ayıklama Modu"
"Full name of the person receiving the product or service paid for by the recurring payment.","Periyodik ödemeye konu olan ürünü/hizmeti alan kişinin adı."
"Initial Fee","Başlangıç Ücreti"
"Initial non-recurring payment amount due immediately upon profile creation.","Profil oluşturmadan hemen sonra periyodik olmayan ilk ödeme miktarı."
"Internal Reference ID","İç Referans No"
"Issue Number","Sayı"
"Make Check Payable to","Çek Alıcısı"
"Make Check payable to:","Çek Alıcısı:"
"Maximum Billing Cycles","Periyodik ödeme için En Fazla Ödeme Sayısı"
"Maximum Payment Failures","En Fazla Ödeme Hatası"
"Maximum Trial Billing Cycles","En Fazla Ödeme Denemesi"
"Merchant Id","Satıcı No"
"N/A","Yok"
"Name on the Card","Kart Üzerindeki İsim"
"New Order Status","Yeni Sipariş Durumu"
"Number of billing periods that make up one billing cycle.","Tek ödemeye çevrilecek periyod sayısı."
