"Qty","Adet"
"Enabled","Aktif"
"API Password","API Şifresi"
"API Signature","API İmzası"
"API User Name","API Kullanıcı Adı"
"Subtotal","Ara Toplam"
"Transaction Type","İşlem Tipi"
"Price","Ücret"
"Product Name","Ürün Adı"
"Sorry, no quotes are available for this order at this time.","Üzgünüz, no quotes are available for this order at this time."
"Your billing address will be ignored and you will be redirected to PayPal website","Ödeme adresiniz gözardı edilerek PayPal sitesine yönlendirileceksiniz"
"Payment Action","Ödeme İşlemi"
"Payment Method","Ödeme Yöntemi"
"Change Payment Method","Ödeme Yöntemini Değiştir"
"Title","Başlık"
"Payment from applicable countries","Bütün ülkelerden tahsilat"
"Billing Information","Fatura Bilgisi"
"Business Name","Firma Adı"
"Debug Flag","Hata Ayıklama"
"Business Account","Hesap"
"Credit Card Types","Kredi Kartı Tipleri"
"Please select a shipping method...","Lütfen bir teslimat tipi seçiniz..."
"PayPal Email","PayPal E-mail Adresi"
"PayPal Account","PayPal Hesabı"
"Paypal Logo Image URL(150x150)","Paypal Logo Dosyası İçin Adres (150x150)"
"Sandbox Flag","Sandbox"
"Sort order","Sıralama"
"Payment from Specific countries","Seçili ülkelerden tahsilat"
"Edit Shopping Cart","Sepeti Düzenle"
"Items in Your Shopping Cart","Sepetinizdeki Ürünler"
"Submitting order information...","Sipariş bilgisi gönderiliyor..."
"Place an Order","Sipariş Ekle"
"Review Order","Siparişi Gözden Geçir"
"You will be redirected to PayPal website when you place an order.","Tahsilat için PayPal sitesine yönlendirileceksiniz."
"You will be redirected to paypal in a few seconds.","Tahsilat için PayPal sitesine yönlendirileceksiniz."
"Shipping Address","Teslimat Adresi"
"Change Shipping Address","Teslimat Adresini Değiştir"
"Shipping Information","Teslimat Bilgisi"
"Shipping Method","Teslimat Yöntemi"
"Update Shipping Method","Teslimat Yöntemini Değiştir"
"Type","Tip"
"Proxy Host","Vekil ( Proxy ) Sunucu Adresi"
"Use Proxy","Vekil ( Proxy ) Sunucu kullan"
"Proxy Port","Vekil ( Proxy ) Sunucu Portu"
"Website Payments Pro (Express, Direct)","Website Payments Pro (Ekspres, Direkt) "
"Website Payments Standard","Website Payments Standart"
"New order status","Yeni sipariş durumu "
"---------------version 1.2 - siteden cekilen dosyalarla eklendi--------------------","////////////////////////////////////////////////////////////////////////"
"Email","Email"
"Incl. Tax","Vergi Dahil"
"No shipping method required.","Teslimat gerektirmeyen ürün."
"You will be redirected to Paypal in a few seconds.","Birkaç saniye içinde Paypal sistemine yönlendirileceksiniz."
"--------------- v 1.3 2009-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Credit Card Number: xxxx-%s","Kredi Kartı Numarası : xxxx-%s"
"Credit Card Type: %s","Kredi Kartı Tipi : %s"
"Debit or Credit Card","Ön Ödemeli Kart veya Kredi Kartı"
"Issue Number","Olay Numarası"
"Issue Number:","Olay Numarası:"
"Maestro/Solo","Maestro/Solo"
"Name on the Card: %s","Kart Üzerindeki İsim : %s"
"PayPal","PayPal"
"PayPal Email:","PayPal Email Adresi:"
"PayPal Uk Account","PayPal Uk Hesabı"
"PayPalUK Express Order Review Form","PayPalUK Hızlı Sipariş Önizleme Formu"
"Pending PayPal","PayPal Ödemesi Bekleniyor"
