"Tag ""%s"" details","""%s"" etiket detayı"
"Tags submitted to %s","%s için eklenen etiketler"
"Reviews for %s","%s için Yorumlar"
"Tags submited by %s","%s tarafından eklenen etiketler"
"Name","Adı"
"First Name","Adı"
"Shopping Cart","Alışveriş Sepeti"
"Subtotal","Ara Toplam"
"Search Terms","Arama Kelimeleri"
"Month","Ay"
"Discounts","İndirimler"
"Refunded","Ücret İadesi Yapılan"
"Product Name","Ürün Adı"
"Quantity of Items","Ürün Adetleri"
"Products Tags","Ürün Etiketleri"
"Product Tags","Ürün Etiketleri"
"Product Sku","Ürün Kodu"
"Products Report","Ürün Raporu"
"Poducts Report","Ürün Raporu"
"Number of Items","Ürün Sayısı"
"Products Reviews","Ürün Yorumları"
"Product Reviews","Ürün Yorumları"
"Products","Ürünler"
"Title","Başlık"
"CSV","CSV"
"Your Recently Viewed","En son gördükleriniz"
"Your Recently Compared","En son karşılaştırdıklarınız"
"Recently Viewed Products","En Son Görülen Ürünler"
"Recently Compared Products","En Son Karşılaştırılan Ürünler"
"Recently Viewed/Compared Products","En Son Görülen/Karşılaştırılan Ürünler"
"Low stock","Düşük Stok"
"Detail","Detay"
"Number Fulfilled","Doldurulmuş Numara"
"Number of Unique Tags","Eşsiz Etiket Sayısı"
"Submitted On","Eklendiği Tarih"
"Submitted In","Eklendiği Yer"
"Email","Email"
"Most viewed","En çok görülen"
"Most Viewed","En Çok Görülen"
"Bestsellers","En Çok Satanlar"
"Tag","Etiket"
"Tag Name","Etiket Adı"
"Tag Detail","Etiket Detayı"
"Tag use","Etiket Kullanımı"
"Total Tags","Etiket Toplamı"
"Excel","Excel"
"Invoiced","Faturalanmış"
"Price","Fiyat"
"Number of Views","Görülme Sayısı"
"Number Viewed","Görülme Sayısı"
"Hits","Görülme Sayısı"
"Visible In","Göründüğü Yer"
"Day","Gün"
"Updated at","Güncellendiği tarih"
"Number Of Historical Uses","Geçmiş Kullanım Sayısı"
"Offline Refunded","Geri Ödeme Yapılanlar (Offline)"
"Online Refunded","Geri Ödeme Yapılanlar (Online)"
"Invalid data specified","Hatalı veri"
"Add to Compare","Karşılaştırma Listesine Ekle"
"Shipping","Kargo"
"Revenue","Kazanç"
"Applied Coupon","Kullanılan Kupon"
"Number Of Uses","Kullanım Sayısı"
"Coupons","Kuponlar"
"Customer","Müşteri"
"Customer Name","Müşteri Adı"
"Customers Tags","Müşteri Etiketleri"
"Customer Tags","Müşteri Etiketleri"
"Customers Report","Müşteri Raporu"
"Customers Reviews","Müşteri Yorumları"
"Customers","Müşteriler"
"Guest","Misafir"
"ID","No"
"Number Added","Numara Eklendi"
"Created At","Oluşturulma Tarihi"
"Average rating","Ortalama Puan"
"Popular Tags","Popüler Etiketler"
"Popularity","Popülerite"
"Reports","Raporlar"
"Sales Report","Satış Raporu"
"Sales","Satışlar"
"Number Purchased","Satın Alınan"
"Show for Current","Seçili olan için Göster"
"Add to Cart","Sepete Ekle"
"Carts","Sepetler"
"Products in carts","Sepetlerdeki ürünler"
"Items in Cart","Sepetteki Ürünler"
"Number of times deleted","Silinme sayısı"
"Customers by orders total","Sipariş ücret toplamına göre müşteriler"
"Items Ordered","Sipariş Edilmiş Ürünler"
"Number of Orders","Sipariş Sayısı"
"Customers by number of orders","Sipariş sayısına göre müşteriler"
"Quantity Ordered","Sipariş Verilen Adet"
"Orders","Siparişler"
"Last Review","Son Yorum"
"Results","Sonuçlar"
"Last Name","Soyadı"
"Out of stock","Stokta yok"
"Stock Qty","Stoktaki Adet"
"Carrier/Method","Taşıyıcı/Yöntem"
"Wishlists","Takip Listeleri"
"Customers that have wishlist: %s%","Takip listesi olan müşteriler : %s%"
"Wishlist Report","Takip Listesi Raporu"
"Number of wishlists: %s","Takip listesi sayısı : %s"
"Wishlist vs. Regular Order","Takip Listesi ve Normal Sipariş"
