"%d Review(s)","%d Yorum"
"Buy %s for %s","%s Satın Al ( %s için )"
"%s Review(s)","%s Yorum"
"(Posted on %s)","(%s tarihinde gönderildi)"
"1 star","1 yıldız"
"2 stars","2 yıldız"
"3 stars","3 yıldız"
"4 stars","4 yıldız"
"5 stars","5 yıldız"
"Name","Adı"
"Qty","Adet"
"Product","Ürün"
"Product Name","Ürün Adı"
"Back to Main Product Info","Ürün Detayına Geri Dön"
"Product SKU","Ürün Kodu"
"Product Rating","Ürün Puanı"
"Product Rating:","Ürün Puanı:"
"Product Reviews","Ürün Yorumları"
"My Product Reviews","Ürün Yorumlarım"
"Back to Product Reviews","Ürün Yorumlarına Dön"
"Product Review (submitted on %s):","Ürün Yorumu (%s tarihinde gönderildi):"
"Title","Başlık"
"View All Reviews","Bütün Yorumları Göster"
"Pending Reviews","Bekleyen Yorumlar"
"Be the first to review this product","Bu ürünü ilk yorumlayan siz olun"
"How do you rate this product?","Bu ürüne kaç puan verirsiniz ?"
"Are you sure you want to do this?","Bunu yapmak istediğinizden emin misiniz ?"
"View Details","Detayları Göster"
"Detailed Rating","Detaylı Puanlama"
"Status","Durum"
"Update status","Durumu Güncelle"
"Are you sure?","Emin misiniz ?"
"Price","Fiyat"
"Posted By","Gönderen"
"Visible In","Görüneceği Yer"
"Visible Ins","Görüneceği Yerler"
"My Recent Reviews","Geçmiş Yorumlarım"
"Back","Geri"
"Add to Compare","Karşılaştırma Listesine Ekle"
"Write Your Own Review","Kendi Yorumunuzu Yazın"
"SKU","Ürün Kodu"
"Please select one of each of the ratings above","Lütfen aşağıdaki puanlama seçeneklerinden istediklerinizi seçiniz"
"Please select a product","Lütfen bir ürün seçiniz"
"Store Views","Mağaza Görünümleri"
"Name In Store","Mağazadaki Adı"
"Customer","Müşteri"
"Customer Reviews","Müşteri Yorumları"
"Guest","Misafir"
"ID","No"
"Created On","Oluşturulma Tarihi "
"Average Customer Rating","Ortalama Müşteri Puanı "
"Average Customer Rating:","Ortalama Müşteri Puanı:"
"Summary Rating","Puan Özeti"
"Rating:","Puan:"
"Your Rating:","Puanınız :"
"Add to Cart","Sepete Ekle"
"Add Items to Cart","Sepete Ekle"
"Delete","Sil"
"Availability: Out of stock.","Stok Durumu : Geçici olarak temin edilemiyor."
"Availability: In stock.","Stok Durumu : Stokta Var."
"Add to Wishlist","Takip Listesine Ekle"
"Nickname","Takma Ad (Nick)"
"All Reviews","Tüm Yorumlar"
"Type","Tip"
"Zoom Out","Uzaklaştır"
"OR","VEYA"
"Zoom In","Yaklaştır"
"Administrator","Yönetici"
"New Review","Yeni Yorum"
"Review","Yorum"
"Summary of review","Yorum Özeti"
"Summary of Review","Yorum Özeti"
"Review Details","Yorum Detayları"
"Add New Review","Yorum Ekle"
"You have submitted no reviews.","Yorum eklemediniz."
"Add Your Review","Yorum Ekleyin"
"You're reviewing: %s","Yorumladığınız Ürün : %s"
"Back to My Reviews","Yorumlarım Sayfasına Dön"
"Review by %s","Yorumlayan : %s"
"Edit Review '%s'","Yorumu Düzenle : '%s'"
"Submit Review","Yorumu Gönder"
"Save Review","Yorumu Kaydet"
"Delete Review","Yorumu Sil"
"Your Review (submitted on %s):","Yorumunuz (%s tarihinde gönderildi):"
"Unable to post review. Please, try again later.","Yorumunuz gönderilemedi. Lütfen daha sonra tekrar deneyiniz."
"Your review has been accepted for moderation","Yorumunuz yönetici onayından geçmek üzere kaydedildi"
"Summary of Your Review","Yorumunuzun Özeti"
"---------------version 1.2 - siteden cekilen dosyalarla eklendi--------------------","////////////////////////////////////////////////////////////////////////"
"All reviews of customer `%s`"," `%s` adlı müşterinin tüm yorumları"
"Allow guests to write reviews","Misafirlerin yorum yapmasına izin ver"
"Manage Ratings","Puanları Yönet"
"Pending reviews","Bekleyen yorumlar"
"Pending reviews of customer `%s`","`%s` adlı müşterinin bekleyen yorumları"
"Reviews and Ratings","Yorumlar ve Puanlar"
"Websites","Web Siteleri"
"--------------- v 1.3 2009-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Catalog Product Review View","Ürün Yorum Görünümü"
"Catalog Product Reviews List","Ürün Yorumları Listesi"
"Customer My Account Product Reviews","Müşteri Hesabındaki Ürün Yorumları"
"Customer My Account Review Details","Müşteri Hesabındaki Ürün Yorum Detayları"
"Review by <span>%s</span>","Yorumlayan : <span>%s</span>"
"You're reviewing:","Yorumladığınız ürün :"
"--------------- v 1.3 2009-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.4.2.0 2010-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"All Reviews of Customer `%s`"," `%s` Adlı Müşterinin Tüm Yorumları"
"Allow Guests to Write Reviews","Misafirlerin de yorum yapmasına izin ver"
"Name in Store","Mağazadaki Adı"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Sadece kayıtlı müşterilerimiz yorum yapabilir. Lütfen, <a href=""%s"">giriş yapın</a> veya <a href=""%s"">üye olun</a>"
"Pending Reviews of Customer `%s`","`%s` Adlı Müşterinin Bekleyen Yorumları"
"Review (submitted on %s):","Yorum (%s):"
"Review Form Fields Before","Yorum Form Alanlarından Önce"
"Unable to post the review.","Yorum gönderilemedi."
"Update Status","Durumu Güncelle"
"Your review has been accepted for moderation.","Yorumunuz onaylanmak üzere kaydedildi."
"--------------- v 1.4.2.0 2010-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.6.0.0-rc1 2011-07-19 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Customers Reviews","Müşteri Yorumları"
"Products Reviews","Ürün Yorumları"
"--------------- v 1.6.0.0-rc1 2011-07-19 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.7.0.0-alpha 2012-01-22 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>","<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>"
"Nickname can\'t be empty","Takma ad alanı boş geçilemez"
"Review can\'t be empty","Yorum alanı boş geçilemez"
"Review summary can\'t be empty","Yorum özeti alanı boş geçilemez"
"--------------- v 1.7.0.0-alpha 2012-01-22 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.7.0.0-alpha 2012-04-28 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"All Reviews of Product `%s`","`%s` Adlı Ürün İçin Yapılan Tüm Yorumlar"
"--------------- v 1.7.0.0-alpha 2012-04-28 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.8.0.0 2013-09-28 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Approved","Onaylandı"
"Not Approved","Reddedildi"
"Pending","Beklemede"
"--------------- v 1.8.0.0 2013-09-28 SONU --------------------","////////////////////////////////////////////////////////////////////////"
