"is"," eşittir "
"is not"," eşit değildir "
"to"," -> "
"Perform following actions","Aşağıdaki işlemleri yap"
"Description: %s","Açıklama: %s"
"Name: %s","Adı : %s"
"Start at: %s","Başlangıç tarihi : %s"
"Expire at: %s","Bitiş: %s"
"TRUE","DOĞRU"
"If %s of these conditions are %s:","Eğer bu durum kayıtlarından %s tanesi %s ise :"
"Add","Ekle"
"Please choose a condition to add...","Eklenecek durumu seçiniz..."
"Please choose an action to add...","Eklenecek işlemi seçiniz..."
"ALL","HEPSİ"
"ANY","HERHANGİ BİRİ"
"Open Chooser","Seçiciyi aç"
"Remove","Sil"
"by","tarafından"
"Apply","Uygula"
"FALSE","YANLIŞ"
"---------------version 1.2 - siteden cekilen dosyalarla eklendi--------------------","////////////////////////////////////////////////////////////////////////"
"Invalid discount amount.","Hatalı indirim oranı."
"MATCHING ALL","EŞLEŞENLERİN TAMAMI"
"MATCHING ANY","HERHANGİ BİR EŞLEŞEN"
"NOT MATCHING ALL","EŞLEŞMEYENLER"
"NOT MATCHING ANY","EŞLEŞMEYENLERDEN HERHANGİ BİRİ"
"contains","içerir"
"does not contain","içermez"
"equals or greater than","eşit veya büyük"
"equals or less than","eşit veya küçük"
"greater than","büyük"
"is not one of","bunlardan biri değil"
"is one of","bunlardan biri"
"less than","küçük"
"--------------- v 1.3 2009-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Conditions Combination","Durum Kombinasyonu"
"found","bulundu"
"not found","bulunamadı"
"was"," "
"was not"," değildi "
"--------------- v 1.3 2009-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.4.2.0 2010-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"End Date should be greater than Start Date","Bitiş tarihi Başlama tarihinden sonra olmalıdır"
"--------------- v 1.4.2.0 2010-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.7.0.0-alpha 2012-04-28 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Customer Groups must be specified.","Müşteri Grupları belirlenmeli."
"End Date must be greater than Start Date.","Bitiş Tarihi, Başlangıç Tarihinden sonra olmalıdır."
"Websites must be specified.","Web Sitelerini seçmelisiniz."
"--------------- v 1.7.0.0-alpha 2012-04-28 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.8.0.0 2013-09-28 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"There is no information about associated entity type ""%s"".","Bağlanan varlık tipi ""%s"" için bilgi bulunamadı."
"--------------- v 1.8.0.0 2013-09-28 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.9.2.2 2016-05-21 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"does not contains","içermez"
"for","için"
"for greater than","için ve büyükse"
"for or greater than","için veya büyükse"
"from","başlama"
"not from","başlama değil"
"--------------- v 1.9.2.2 2016-05-21 SONU --------------------","////////////////////////////////////////////////////////////////////////"
