"No detail for number ""%s"""," ""%s"" numara için detay yok"
" The customer doesn't exist in the system anymore"," Bu müşteri sistemde bulunamadı"
"""%s"" coupon code is not valid.","""%s"" kupon kodu geçerli değil."
"separate by "",""",""","" ile ayır"
"The item %s (SKU %s) doesn't exist in the catalog anymore","%s (Kod: %s) katalogda yok"
"%s order(s) succesfully released from holding status","%s adet sipariş beklemeden çıkarıldı"
"%s order(s) successfully put on hold","%s adet sipariş beklemeye alındı"
"%s order(s) succesfully canceled","%s adet sipariş iptal edildi"
"Create New Order for %s in %s","%s için %s üzerinde sipariş oluştur"
"Create New Order for %s","%s için Sipariş Ekle"
"Order was placed using %s","%s kullanılarak sipariş eklendi"
"Create New Order for New Customer in %s","%s Yeni Müşterisi için Yeni Sipariş Ekle"
"<span style=""color:red"">Warning: when catalog prices include tax, should be set to ""No""</span>","<span style=""color:red"">Dikkat : katalogdaki fiyatlara vergi dahilse, ""Hayır"" seçmelisiniz</span>"
"<span style=""color:red"">Requires Tax Based On Shipping Origin</span>","<span style=""color:red"">Teslimat Adresine Göre Vergilendirme gerekiyor</span>"
"Add a gift message for <strong>each gift item</strong>","<strong>Her hediye ürün için</strong> hediye mesajı ekle"
"Add a gift message for the <strong>entire order</strong>","<strong>Siparişin tamamı için</strong> hediye mesajı ekle"
"Ship to Name","Alıcı"
"Ship to First name","Alıcı Adı"
"Ship to First Name","Alıcı Soyadı"
"First Name","Adınız"
"Qty","Adet"
"QTY","ADET"
"Update Qty's","Adetleri güncelle"
"Address","Adres"
"Save in address book","Adres Defterine kaydet"
"Shopping Cart","Alışveriş Sepeti"
"To","Alıcı"
"To:","Alıcı :"
"To Name","Alıcı İsim"
"Can not load track with retrieving identifier.","Alınmakta olan kimlik için izleme bilgisi çekilemedi."
"SOLD TO:","ALICI :"
"Subtotal","Ara Toplam"
"Adjustment Fee","Ayarlama Ücreti"
"Adjustment Refund","Ayarlama Ücreti İadesi"
"Adjustment Refund:","Ayarlama Ücreti İadesi:"
"Adjustment Fee:","Ayarlama Ücreti:"
"State/Province","Şehir"
"Refunded","İade edildi"
"Refund Amount","İade Edilen Toplam"
"Invalid qty to refund item ""%s""","İade için yanlış miktar/adet ""%s"""
"Action","İşlem"
"Actions","İşlemler"
"Processing","İşleniyor"
"Original Price","İlk Fiyatı"
"Discount","İndirim"
"Discount ","İndirim "
"Discount (%s)","İndirim (%s)"
"Discount :","İndirim :"
"Discount Amount","İndirim Toplamı"
"Cancel","İptal"
"Canceled","İptal Edildi"
"Qty Canceled","İptal Edilen Adet"
"Send Tracking Information","İzleme Bilgisini Gönder"
"Tracking Number(s)","İzleme Numaraları"
"Tracking Number","İzleme Numarası"
"Tracking number can not be empty.","İzleme Numarası boş bırakılamaz."
"Can not retrieve tracking number detail.","İzleme numarası detayı alınamıyor."
"Add Tracking Number","İzleme Numarası Ekle"
"Can not add tracking number.","İzleme numarası eklenemedi."
"Can not initialize shipment for adding tracking number.","İzleme numarası eklenmek üzere sipariş çekilirken hata oluştu."
