" for more information or email us at "," detaylı bilgi için bize e-mail gönderin "
"# of Items (and above)","# Ürün Sayısı (ve aşağısı)"
"# of Items vs. Destination","# Ürün Sayısı ve Varış Yeri"
"Invalid Table Rate code for type %s: %s","%s için hatalı tablo oran kodu: %s"
"Weight (and above)","Ağırlık (ve aşağısı)"
"Weight vs. Destination","Ağırlık ve Varış Yeri"
"Weight:","Ağırlık:"
"Description","Açıklama"
"Enabled","Aktif"
"City","İlçe"
"Signed by:","İmzalayan :"
"Track:","İz :"
"Tracking information is currently unavailable.","İzleme bilgisi kullanılamıyor."
"Tracking information is currently not available. Please ","İzleme bilgisi kullanılamıyor. Lütfen "
"Tracking Number:","İzleme Numarası :"
"There is no tracking available.","İzleme yok."
"Free Shipping","Ücretsiz Kargo"
"Country","Ülke"
"Origin","Çıkış Yeri"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"")","Çift satır #%s (Ülke ""%s"", Bölge/Şehir ""%s"", Posta Kodu ""%s"" ve Değer ""%s"")"
"Title","Başlık"
"Region/State","Bölge/Şehir"
"Ship to Specific countries","Belirlenen ülkelere gönderim"
"Info:","Bilgi:"
"Maximum qty allowed for Shipping to multiple addresses","Birden fazla adrese gönderim yapmak için izin verilen en fazla ürün adedi"
"Allow Shipping to multiple addresses","Birden fazla adrese teslimata izin ver"
"contact us","bizimle bağlantı kurun"
"There is no tracking available for this shipment.","Bu kargo için izleme bilgisi kullanılamıyor."
"The shipping module is not available for selected delivery country","Bu teslimat modülü seçilen ülke için kullanılamıyor"
"Export","Dışarı Ver"
"Flat Rate","Düz Fiyat"
"Condition","Durum"
"Status:","Durum :"
"Show method if not applicable","Eğer uygulanabilir değilse metodu göster"
"Minimum order amount","En az sipariş toplamı"
"Price","Fiyat"
"Price vs. Destination","Fiyat veya Varış Yeri"
"Displayed Error Message","Gösterilen hata mesajı"
"Invalid %s ""%s"" in the Row #%s","Hata %s ""%s"" #%s numaralı satırda"
"Error:","Hata:"
"Invalid Country ""%s"" in the Row #%s","Hatalı ülke bilgisi ""%s"",  #%s numaralı satırda"
"Invalid Region/State ""%s"" in the Row #%s","Hatalı şehir bilgisi ""%s"",  #%s numaralı satırda"
"Invalid Shipping Price ""%s"" in the Row #%s","Hatalı kargo ücreti bilgisi ""%s"",  #%s numaralı satırda"
"Invalid Table Rates File Format","Hatalı tablo oran dosya biçimi"
"Invalid Table Rate code type: %s","Hatalı tablo oran kodu: %s"
"Service Type:","Hizme Tipi:"
"Shipment #","Kargo #"
"Shipped or billed on:","Kargolama veya Faturalama Yeri :"
"Store Pickup","Mağazadan Teslim Alma"
"Ship to applicable countries","Mümkün olan bütün ülkelere gönderim"
"Per Package","Paket başına"
"Close Window","Pencereyi Kapat"
"Fixed","Sabit"
"Sort order","Sıralama"
"Options","Seçenekler"
"Order Subtotal (and above)","Sipariş Ara Toplamı (veya aşağısı)"
"Per Order","Sipariş başına"
"Carrier:","Taşıyıcı:"
"Table rates","Tablo oranları"
"Date","Tarih"
"Handling Fee","Teslim Alma Ücreti"
"Calculate Handling Fee","Teslim Alma Ücretini Hesapla"
"Shipping Settings","Teslimat Ayarları"
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Teslimat yöntemi kullanılamıyor. Bu yöntemi yine de kullanmak istiyorsanız bizimle bağlantı kurunuz."
"Shipping Methods","Teslimat Yöntemleri"
"Type","Tip"
"Delivered to:","Ulaştırıldığı Alıcı :"
"Delivered on:","Ulaştırıldığı Tarih :"
"Import","Veri Al"
"Method name","Yöntem Adı"
"Percent","Yüzde"
"Location","Yer"
"Local Time","Yerel Saat"
"None","Yok"
"N/A","Yok"
"ZIP/Postal Code","Zip/Posta Kodu"
"---------------version 1.2 - siteden cekilen dosyalarla eklendi--------------------","////////////////////////////////////////////////////////////////////////"
"Shipping Methods Section","Teslimat Yöntemleri Bölümü"
"Shipping Settings Section","Teslimat Ayarları Bölümü"
