"# of Uses","# Kullanım Sayısı"
"Search Results for '%s' (<a href='%s'>RSS</a>)","'%s' için Arama Sonuçları (<a href='%s'>RSS</a>)"
"Products tagged with '%s'","'%s' ile etiketlenen ürünler"
"Products Tagged with '%s'","'%s' ile etiketlenen ürünler"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","'%s' ile etiketlenen ürünler (<a href='%s'>RSS</a>)"
"Customers Tagged '%s'","'%s' Müşteriler Etiketledi"
"Name","Adı"
"First Name","Adı"
"Action","İşlem"
"Actions","İşlemler"
"Country","Ülke"
"Product Name","Ürün Adı"
"Product Tags","Ürün Etiketleri"
"Product SKU","Ürün Kodu"
"Products","Ürünler"
"View Products","Ürünleri Göster"
"My Recent Tags","Önceki Etiketlerim"
"Pending","Beklemede"
"Pending Tags","Bekleyen Etiketler"
"Block Information","Blok Bilgisi"
"Are you sure that you want to delete this tag?","Bu etiketi silmek istediğinizden emin misiniz ?"
"Are you sure you want to delete this tag?","Bu etiketi silmek istediğinizden emin misiniz ?"
"Unable to find any products tagged with '%s' in the current store","Bu mağazada '%s' ile etiketlenmiş ürün bulunamadı"
"Are you sure you want to do this?","Bunu yapmak istediğinizden emin misiniz ?"
"CSV","CSV"
"Other people marked this product with these tags:","Diğer müşterilerimiz bu ürüne şu etiketleri koydular :"
"Status","Durum"
"Change status","Durumu değiştir"
"No matches found.","Eşleşme bulunamadı."
"Email","Email"
"Are you sure?","Emin misiniz ?"
"Tag","Etiket"
"Tag Name","Etiket Adı"
"Tag Name: %s","Etiket Adı : %s"
"Tag Information","Etiket Bilgisi"
"Tag can't be empty.","Etiket boş olamaz."
"Add Tags","Etiket Ekle"
"Add New Tag","Etiket Ekle"
"Back to view Tag","Etiket Görünümüne Dön"
"Back to Tags List","Etiket Listesine Dön"
"Unable to remove tag. Please, try again later.","Etiket silinemiyor. Lütfen daha sonra tekrar deneyiniz."
"Unable to save tag(s)","Etiket(ler) kaydedilemiyor"
"Edit Tag '%s'","Etiketi Düzenle '%s'"
"Save Tag","Etiketi Kaydet"
"Delete Tag","Etiketi Sil"
"Edit Tag","Etiketi Sil"
"You tag was successfully saved","Etiketiniz kaydedildi"
"Unable to save your tag. Please, try again later.","Etiketiniz kaydedilemiyor. Lütfen daha sonra tekrar deneyiniz."
"You tag was successfully deleted","Etiketiniz silindi"
"Tagged in","Etiketlendiği Yer"
"Tags","Etiketler"
"Tags:","Etiketler :"
"Tags Aren't Available","Etiketler açık değil"
"Use spaces to separate tags. Use single quotes (') for phrases.","Etiketleri ayırmak için boşluk kullanınız. Deyim tipindeki etiketler için tekli tırnak (') kullanınız."
"My Tags","Etiketlerim"
"Your tag(s) have been accepted for moderation","Etiketleriniz onaydan geçmek üzere kaydedildi"
"Add Your Tags:","Etiketlerinizi Ekleyin :"
"Price","Fiyat"
"Visible In","Görüneceği Yer"
"General Information","Genel Bilgi"
"Back","Geri"
"View All","Hepsini Göster"
"You have not tagged any products yet.","Hiç bir ürünü etiketlemediniz."
"Grid","Izgara"
"Disabled","Kapalı"
"SKU","Ürün Kodu"
"Uses","Kullanır"
"List","Liste"
"Customer Since","Müşteri Geçmişi"
"Customers","Müşteriler"
"View Customers","Müşterileri Göster"
"ID","No"
"Approved","Onaylandı"
"Popular","Popüler"
"Popular Tags","Popüler Etiketler"
"Popularity","Popülerite"
