"You cannot delete this tax class as it is used for %d products.","%d  ürün tarafından kullanılan bu vergi sınıfını silemezsiniz."
"You cannot delete this tax class as it is used for %d customer groups.","%d  müşteri grubu tarafından kullanılan bu vergi sınıfını silemezsiniz."
"-- Please Select --","-- Lütfen Seçiniz --"
"State","Şehir"
"State/Region","Şehir"
"Country","Ülke"
"Product Tax Class","Ürün Vergi Sınıfı"
"Product Tax Class Information","Ürün Vergi Sınıfı Bilgisi"
"Product Tax Classes","Ürün Vergi Sınıfları"
"Manage Product Tax Classes","Ürün Vergi Sınıflarını Yönet"
"County","Bölge"
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Bu vergi sınıfı vergi kurallarında kullanıldığı için silinemez. Önce bu sınıfla ilişkili kuralları silmelisiniz."
"Are you sure you want to do this?","Bunu yapmak istediğinizden emin misiniz ?"
"CSV","CSV"
"Back","Geri"
"Invalid file upload attempt","Hatalı dosya yükleme işlemi"
"Incorrect rate Data","Hatalı oran bilgisi"
"Invalid data for tax rate calculation","Hesaplama için hatalı oran bilgisi"
"Error while saving this tax rule. This product tax class and customer tax class combination","Kural kaydedilirken hata oluştu. Ürün vergi sınıfı ve Müşteri vergi sınıfı birleşimi "
"Error while saving this tax rule. Please try again later.","Kural kaydedilirken hata oluştu. Lütfen daha sonra tekrar deneyiniz."
"Error while deleting this tax rule. Please try again later.","Kural silinirken hata oluştu. Lütfen daha sonra tekrar deneyiniz."
"Edit Rule","Kuralı Düzenle"
"Save Rule","Kuralı Kaydet"
"Delete Rule","Kuralı Sil"
"Please select Country","Lütfen Ülke Seçiniz"
"Please select County","Lütfen Bölge Seçiniz"
"Please select State","Lütfen Şehir Seçiniz"
"Customer Tax Class","Müşteri Vergi Sınıfı"
"Customer Tax Class Information","Müşteri Vergi Sınıfı Bilgisi"
"Customer Tax Classes","Müşteri Vergi Sınıfları"
"Manage Customer Tax Classes","Müşteri Vergi Sınıflarını Yönet"
"ID","No"
"Error while saving this rate. Please try again later.","Oran kaydedilirken hata oluştu. Lütfen daha sonra tekrar deneyiniz."
"Error while deleting this rate. Incorrect rate ID","Oran silinirken hata oluştu. Hatalı oran numarası"
"Error while deleting this rate. Please try again later.","Oran silinirken hata oluştu. Lütfen daha sonra tekrar deneyiniz."
"Edit Tax Rate","Oranı Düzenle"
"Save Rate","Oranı Kaydet"
"Delete Rate","Oranı Sil"
"Sales","Satışlar"
"One of row has invalid country code.","Satırlardan birinde hatalı ülke kodu var."
"Reset","Sıfırla"
"Class Name","Sınıf Adı"
"Add New Class","Sınıf Ekle"
"Error while saving this tax class. Class with the same name ","Sınıf kaydedilirken hata oluştu. Aynı adla bir sınıf var "
"Error while saving this tax class. Please try again later.","Sınıf kaydedilirken hata oluştu. Lütfen daha sonra tekrar deneyiniz."
"Error while deleting this class. Please try again later.","Sınıf silinirken hata oluştu. Lütfen daha sonra tekrar deneyiniz."
"Edit Class","Sınıfı Düzenle"
"Edit Class '%s'","Sınıfı Düzenle '%s'"
"Save Class","Sınıfı Kaydet"
"Delete Class","Sınıfı Sil"
"This rule no longer exists","Seçtiğiniz kural bulunamıyor"
"This class no longer exists","Seçtiğiniz sınıf bulunamıyor"
"Tax","Vergi"
"Inc. Tax","Vergi Dahil"
"Incl. Tax","Vergi Dahil"
"Excl. Tax","Vergi Hariç"
"Tax Rule Information","Vergi Kuralı Bilgisi"
"Add New Tax Rule","Vergi Kuralı Ekle"
"Tax rule was successfully saved","Vergi kuralı kaydedildi"
"Tax rule was successfully deleted","Vergi kuralı silindi"
"Tax Rules","Vergi Kuralları"
"Manage Tax Rules","Vergi Kurallarını Yönet"
"Tax Rate","Vergi Oranı"
"Tax Rate Information","Vergi Oranı Bilgisi"
"Tax rate was successfully imported","Vergi oranı bilgisi alındı"
"Add New Tax Rate","Vergi Oranı Ekle"
"Tax rate was successfully saved","Vergi oranı kaydedildi"
"Tax rate was successfully deleted","Vergi oranı silindi"
"Tax Rates","Vergi Oranları"
"Tax Rates Import / Export","Vergi Oranları Al / Ver"
"Import Tax Rates","Vergi oranlarını Al"
"Import / Export Tax Rates","Vergi oranlarını Al/Ver"
"Export Tax Rates","Vergi oranlarını dışarı aktar"
"Manage Tax Rates","Vergi Oranlarını Yönet"
"Tax class was successfully saved","Vergi sınıfı kaydedildi"
"Tax class was successfully deleted","Vergi sınıfı silindi"
"XML","XML"
"Invalid file format upload attempt","Yüklemeye çalıştığınız dosyanın biçim geçersiz"
"New Rule","Yeni Kural"
"New Class","Yeni Sınıf"
"New Tax Rate","Yeni Vergi Oranı"
"NONE","YOK"
"Zip/Post Code","Zip/Posta Kodu"
"---------------version 1.2 - siteden cekilen dosyalarla eklendi--------------------","////////////////////////////////////////////////////////////////////////"
"Apply Discount On Prices Including Tax","Vergi dahil fiyatlara indirim uygula"
"Apply Tax After Discount","Vergiyi indirimden sonra uygula"
"Apply Tax On","Vergiyi Uygula"
"Calculation","Hesaplama"
"Catalog prices include tax","Katalog fiyatlarına vergi ekle"
"Code","Kod"
"Country/Region/Postal code combination","Ülke/Bölge/Posta kodu kombinasyonu"
"Custom price if available","Eğer varsa özel fiyat kullan"
"Default Country","Varsayılan Ülke"
"Default Post Code","Varsayılan Posta Kodu"
"Default State","Varsayılan Şehir"
"Default Tax Origin Calculation","Varsayılan Vergi Merkezi Hesaplaması"
"Display","Göster"
"Display Cart/Order Prices","Sepet/Sipariş Fiyatlarını Göster"
"Display Product Prices","Ürün Fiyatlarını Göster"
"Display Shipping Prices","Teslimat Fiyatlarını Göster"
"Display Zero Tax Subtotal","Vergisiz Ara Toplamı Göster"
"Display full tax summary","Tüm Vergi Özetini Göster"
"Error while saving this tax rule. This product tax class, customer tax class and tax rate combination","Vergi kuralı kaydedilirken hata oluştu. Bu ürün vergi sınıfı, müşteri vergi sınıfı ve vergi oranı kombinasyonu"
"Excl. Tax:","Vergi Hariç :"
"Excluding tax","Vergi Hariç"
"Ignored when 'Apply Tax After Discount' option is enabled","'Vergiyi Indirimden Sonra Uygula' seçeneği aktif olduğunda gözardı edilir"
"Incl. Tax:","Vergi Dahil:"
"Including and excluding tax","Vergi Dahil / Hariç"
"Including tax","Vergi Dahil"
"Manage Tax Zones & Rates","Vergi Alanlarını ve Oranlarını Yönet"
"Name","İsim"
"None","Hiçbiri"
"One of the country has invalid code.","Ülkelerden birinin kodu hatalı."
"Original price only","Sadece orjinal fiyat"
"Priority","Önem"
"Rate","Oran"
"Shipping prices include tax","Teslimat fiyatlarına vergi dahil"
"Sort Order","Sıralama"
"Tax Based On","Vergi Nedeni"
"Tax Class for Shipping","Teslimat için Vergi Sınıfı"
"Tax Classes","Vergi Sınıfları"
"Tax Identifier","Vergi Tanımlayıcısı"
"Tax Section","Vergi Bölümü"
"Tax Titles","Vergi İsimleri"
"Tax rates at the same priority are added, others are compounded.","Aynı önemdeki vergi oranları eklendi, diğerleri birleştirildi."
"--------------- v 1.3 2009-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d.","'*' - herhangi biri; 'xyz*' - 'xyz' ile başlayan ve %d karakterden uzun olmayan kayıtları bulur."
"After Discount","İndirimden Sonra"
"Apply Customer Tax","Müşteri Vergisini Uygula"
"Apply Discount On Prices","Fiyatlara İndirimi Uygula"
"Apply Discount on Price Including Tax is calculated based on store tax, if 'Apply Tax after Discount' is selected.","Eğer 'Vergiyi İndirimden Sonra Uygula' seçeneği aktifse, mağazada ayarlı vergiler üzerinden hesaplama yapılacaktır."
"Before Discount","İndirimden Önce"
"Calculation Settings","Hesaplama Ayarları"
"Catalog Prices","Katalog Fiyatları"
"Default Tax Destination Calculation","Varsayılan Bölgeye Göre Vergi Hesaplama"
"Display Prices","Fiyatların Gösterilmesi"
"Display Product Prices In Catalog","Ürün fiyatlarını katalogda göster"
"Display Shipping Amount","Teslimat toplamını göster"
"Display Subtotal","Ara Toplamı Göster"
"Excluding Tax","Vergi Hariç"
"Grand Total (Excl. Tax)","Genel Toplam (Vergi Hariç)"
"Grand Total (Excl.Tax)","Genel Toplam (Vergi Hariç)"
"Grand Total (Incl. Tax)","Genel Toplam (Vergi Dahil)"
"Grand Total (Incl.Tax)","Genel Toplam (Vergi Dahil)"
