"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s takip listenize eklendi. Alışverişe devam etmek için <a href=""%2$s"">buraya tıklayın</a>"
"Can't save description %s","%s açıklaması kaydedilemiyor"
"%s's Wishlist","%s Takip Listesi"
"RSS link to %s's wishlist","%s Takip Listesine RSS bağlantısı"
"* Required Fields","* Zorunlu Alan"
"Enabled","Aktif"
"Product","Ürün"
"Cannot specify product","Ürün seçiminde hata var"
"There was an error while deleting item from wishlist.","Ürün takip listenizden silinirken bir hata oluştu."
"There was an error while adding item to wishlist.","Ürün takip listenize eklenirken bir hata oluştu."
"View Product","Ürünü Göster"
"This product(s) is currently out of stock:","Bu ürün(ler) stokta yok :"
"Are you sure you want to remove this product from your wishlist?","Bu ürünü takip listenizden silmek istediğinizden emin misiniz ?"
"Are you sure you would like to remove this item from the wishlist?","Bu ürünü takip listesinden silmek istediğinizden emin misiniz ?"
"Added On","Eklenme Tarihi"
"Email address can't be empty.","Email adresi boş olamaz."
"Email addresses, separated by commas","Email adresleri (virgülle ayırınız)"
"Email Template","Email Şablonu"
"Email Sender","Email Göndericisi"
"Are You sure?","Emin misiniz ?"
"You input not valid email address.","Geçerli bir e-mail adresi girmediniz."
"General Options","Genel Ayarlar"
"Back","Geri"
"Add All to Cart","Hepsini Sepete Ekle"
"Remove Item","Kayıt Sil"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Lütfen geçerli e-mail adresleri giriniz ve aralarında virgül kullanınız. Örnek: ahmet@domain.com, mehmet@baskadomain.com."
"Please, enter your comments...","Lütfen yorumlarınızı giriniz..."
"Message","Mesaj"
"Sharing Information","Paylaşım Bilgisi"
"Share options","Paylaşma seçenekleri"
"RSS Feed","RSS Veri Akışı"
"Add to Cart","Sepete Ekle"
"Last Added Items","Son Eklenenler"
"My Wishlist","Takip Listem"
"My Wishlist (%d item)","Takip Listem (%d ürün)"
"My Wishlist (%d items)","Takip Listem (%d ürün)"
"My Wishlist - <a href=""%s"">%d Item(s)</a>","Takip Listem - <a href=""%s"">%d adet ürün</a>"
"Share Your Wishlist","Takip Listeni Paylaş"
"Your Wishlist was successfully shared","Takip Listeniz paylaşıldı"
"You have no items in your wishlist.","Takip listenizde ürün yok."
"There was an error while deleting item from wishlist: %s","Takip listenizden ürün silinirken hata oluştu : %s"
"There was an error while adding item to wishlist: %s","Takip listenize ürün eklenirken hata oluştu : %s"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Takip listenize bir RSS akışı eklemek için bu kutuyu işaretleyin."
"Wishlist","Takip Listesi"
"Wishlist is empty now.","Takip listesi boş."
"Cannot create wishlist","Takip listesi oluşturulamadı"
"Share Wishlist","Takip Listesi Paylaş"
"Wishlist Sharing","Takip Listesi Paylaşımı"
"Add to Wishlist","Takip Listesine Ekle"
"Go to Wishlist","Takip Listesine Git"
"Update Wishlist","Takip Listesini Güncelle"
"Comment","Yorum"
"---------------version 1.2 - siteden cekilen dosyalarla eklendi--------------------","////////////////////////////////////////////////////////////////////////"
"Can\'t save description %s","Açıklama kaydedilemedi %s"
"Email address can\'t be empty.","Email adresi boş bırakılamaz."
"Wishlist Section","Takip Listesi Bölümü"
"--------------- v 1.3 2009-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"""%s""","""%s"" "
"%d product(s) have been added to shopping cart: %s.","%d ürün sepete eklendi : %s."
"Can\'t specify product","Ürün seçilemiyor"
"Can\'t specify wishlist","Takip listesi seçilemiyor"
"Cannot add item to shopping cart","Sepete ürün eklenemiyor"
"Cannot add to shopping cart","Sepete eklenemiyor"
"Comment:","Yorum :"
"Customer My Account My Wishlist","Müşteri Hesabım Takip Listem"
"Customer My Account Wishlist Sharing Form","Müşteri Hesabım Takip Listesi Paylaşım Formu"
"Customer Shared Wishlist View","Müşteri Hesabım Paylaşılmış Takip Listesi Görünümü"
"My Wishlist (%d)","Takip Listem (%d)"
"Out of stock","Stokta Yok"
"Please input a valid email address.","Lütfen geçerli bir e-mail adresi giriniz."
"Product(s) %s have required options. Each of them can be added to cart separately only.","%s adlı ürün(ler) zorunlu olarak doldurulması gereken seçeneklere sahipler. Her ürün sepete ayrı olarak eklenmeli."
"Remove This Item","Bu ürünü sil"
"Remove item","Ürünü sil"
"This product(s) is currently out of stock","Bu ürün(ler) stokta yok"
