" "," "
" But cart has some errors."," Sepette bazı hatalar var."
"""Title"" is more than %d characters long","""Başlık"" %d karakterden fazla veri içeriyor"
"%1$s has been added to your wishlist.","%1$s takip listenize eklendi."
"%1$s incl tax.","%1$s vergi dahil."
"%s has been added to your cart.","%s sepetinize eklendi."
"10:40 AM","10:40 ÖÖ"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"A Catalog Only App will not support functions such as add to cart, add to wishlist, or login.","Sadece katalog içeren uygulama sepete eklemeyi, takip listesine ekle, veya üye girişi bulunmaz."
"A new password has been sent.","Yeni şifre kaydedildi."
"Account","Hesap"
"Account confirmation is required. Please check your email for the confirmation link.","Hesap doğrulaması yapılması gerekiyor. Doğrulama bağlantısını içeren maili açıp bağlantıya tıklamak için e-mail kutunuzu kontrol ediniz."
"Account information has been saved.","Hesap bilgileri kaydedildi."
"Action","İşlem"
"Activate","Etkinleştir"
"Activate PayPal Checkout","Paypal ile Alışveriş Tamamlamayı Etkinleştir"
"Activation Key","Etkinleştirme Anahtarı"
"Add App","Uygulama Ekle"
"Add More Templates","Daha Fazla Şablon"
"Add New Template","Şablon Ekle"
"Add Page","Sayfa Ekle"
"Add to Cart","Sepete Ekle"
"Add to Wishlist","Takip Listesine Ekle"
"Additional Address","Ek Adres"
"Additional Countries","Ek Ülkeler"
"Address","Adres"
"Address 2","Adres 2"
"Address data not specified.","Adres verisi girilmedi."
"Address does not belong to this customer.","Adres bu müşteriye ait değil."
"Address has been deleted.","Adres silindi."
"Address has been saved.","Adres kaydedildi."
"Administrative contact for this app and for app submission issues.","Bu uygulamanın abonelik sorunları için iletişim bilgisi."
"Advanced Settings","Gelişmiş Ayarlar"
"After submitting the App, please contact <a href=""mailto:%1$s"">%1$s</a> to receive the Application Key, Application Secret and Application Master Secret.<br />Upon receiving these credentials, please fill in the corresponding fields.<br />In addition, please accept Urban Airship\'s Terms of Service: <a href=""%2$s"" target=""_blank"">click here</a>.","Uygulamayı gönderdikten sonra, lütfen <a href=""mailto:%1$s"">%1$s</a> ile bağlantı kurarak Uygulama Anahtarını, Uygulama Şifresini ve Ana Şifreyi alınız.<br />Bu bilgileri aldıktan sonra gerekli alanları doldurunuz.<br />Ek olarak, Urban Airship\'in Hizmet Koşullarını <a href=""%2$s"" target=""_blank"">buraya tıklayarak</a> okuyunuz."
"AirMail Message Queue","AirMail Mesaj Kuyruğu"
"AirMail Messages Queue","AirMail Mesaj Kuyruğu"
"AirMail Template Preview","AirMail Şablon Önizleme"
"AirMail message","AirMail mesajı"
"AirMail templates","AirMail şablonları"
"An account with this email address already exists.","Bu e-mail adresiyle zaten kayıtlı bir müşteri var."
"An error occurred while adding item to wishlist.","Ürün takip listesine eklenirken sorun oluştu."
"An error occurred while deleting the address.","Adres silindi sorun oluştu."
"An error occurred while loading category filters.","Kategori filtreleri yüklenirken sorun oluştu."
"An error occurred while processing your order. Please contact us or try again later.","Siparişiniz işlenirken sorun oluştu. Lütfen tekrar deneyiniz, sorun çözülmezse site yönetimi ile bağlantı kurunuz."
"An error occurred while processing your request.","İsteğiniz işlenirken sorun oluştu."
"An error occurred while removing item from wishlist.","Ürün takip listesinden silinirken hata oluştu."
"An error occurred while removing items from wishlist.","Ürünler takip listesinden silinirken hata oluştu."
"Analytics","Analizler"
"Android","Android"
"App Background","Uygulama Arka Planı"
"App Background (landscape mode)","Uygulama Arka Planı (yatay)"
"App Background (portrait mode)","Uygulama Arka Planı (dikey)"
"App Code","Uygulama Kodu"
"App Information","Uygulama Bilgisi"
"App Name","Uygulama Adı"
"App Submission History","Uygulama Gönderim Geçmişi"
"App Title","Uygulama Başlığı"
"App code required.","Uygulama kodu gerekiyor."
"App does not exist.","Uygulama bulunamıyor."
"App has been deleted.","Uygulama silindi."
"App has been saved.","Uygulama kaydedildi."
"App has been submitted.","Uygulama gönderildi."
"App model not loaded.","Uygulama modeli yüklenemedi."
"App with specified code does not exist.","Belirtilen kodla bir uygulama bulunamadı."
"Appears in the info section of your app (example:  Copyright 2010 – Your Company, Inc.)","Uygulamanın bilgi bölümünde gözükür (örnek:  Copyright 2010 – Şirketiniz.)"
"Application","Uygulama"
"Application Key","Uygulama Anahtarı"
"Application Master Secret","Uygulama Ana Şifresi"
"Application Name","Uygulama Adı"
"Application Secret","Uygulama Şifresi"
"Apply Theme","Uygulamaly Teması"
"Apply will automatically resize this image for display in the App Store and on users’ devices.  A gloss (i.e. gradient) will also be applied, so you do not need to apply a gradient.  Image must be at least 512x512","Uygula derseniz, resim App Store'da ve kullanıcıların cihazlarında gözükecek şekilde boyutlandırılacaktır.  Bir parlatma (örneğin: gradyan) zaten uygulandı, yeniden uygulamanıza gerek yok. Resim boyutları en az 512x512 piksel olmalıdır"
"Are you sure you whant to cancel a message?","Bir mesajı iptal etmek istediğinizden emin misiniz ?"
"Are you sure you whant to delete a message?","Bir mesajı silmek istediğinizden emin misiniz ?"
"Are you sure you what to cancel selected records?","Seçili kayıtları iptal etmek istediğinizden emin misiniz ?"
"Are you sure you what to delete selected records?","Seçili kayıtları silmek istediğinizden emin misiniz ?"
"Authentication complete.","Kimlik doğrulama tamamlandı."
"Back","Geri"
"Back to App Edit","Uygulama Düzenlemeye Geri Dön"
"Background Color","Arka Plan Rengi"
"Banner on Home Screen","Ana Sayfadaki Banner"
"Billing address has been set.","Fatura adresi ayarlandı."
"Buy %1$s for %2$s","%1$s al %2$s öde"
"Buy %1$s for %2$s (%3$s incl. tax) each","%1$s al her birine %2$s öde (%3$s vergi dahil)"
"Buy %1$s for %2$s each","%1$s al her biri için %2$s öde"
"Can\'t add item to shopping cart.","Sepete eklenemedi."
"Can\'t apply the coupon code.","İndirim kupon kodu uygulanamadı."
"Can\'t create wishlist.","Takip listesi oluşturulamadı."
"Can\'t load XML.","XML Yüklenemedi."
"Can\'t load application with code ""%s""","""%s"" koduyla uygulama yüklenemedi"
"Can\'t open submission form.","Gönderim formu açılamadı."
"Can\'t read file ""%s"".","""%s"" dosyası okunamıyor."
"Can\'t remove the item.","Ürün silinemedi."
"Can\'t reset theme.","Tema sıfırlanamadı."
"Can\'t save address.","Adres kaydedilemedi."
"Can\'t save the customer.","Müşteri kaydedilemedi."
"Can\'t save theme.","Tema kaydedilemedi."
"Can\'t show configuration.","Ayar gösterilemiyor."
"Can\'t specify product.","Ürün belirlenmedi."
"Can\'t submit application.","Uygulama gönderilemedi."
"Can\'t update cart.","Sepet güncellenemedi."
"Can\'t write to file ""%s"".","Dosya yazılamadı ""%s""."
"Can\t copy file ""%s"" to ""%s"".","""%s"" adlı dosya  ""%s"" olarak kopyalanamadı."
"Cancel","İptal"
"Canceled","İptal edildi"
"Cancelled","İptal edildi"
"Cannot load theme ""%s"".","""%s"" adlı tema yüklenemedi."
"Cannot save theme ""%s"". Incorrect data received","Tema kaydedilemedi ""%s"". Hatalı veri alındı"
"Card Verification Number","Kart Güvenlik Numarası"
"Card verification number is wrong","Kart Güvenlik Numarası hatalı"
"Carrier","Taşıyıcı"
"Cart","Sepet"
"Cart has been updated.","Sepet güncellendi."
"Cart has some errors.","Sepette bazı sorunlar var."
"Cart is empty.","Sepet boş."
"Cart line items are not eligible for exporting to PayPal API","Sipariş satırlarındaki ürünler PayPal APIye aktarmak için uygun değil"
"Catalog Only App?","Sadece ürün listesi uygulaması?"
"Category Button Color","Kategori Buton Rengi"
"Category Item Background Color","Kategori Arka Plan Rengi"
"Chairs","Sandalyeler"
"Change Orientation","Yatay/Dikey Değiştir"
"Change Password","Şifre Değiştir"
"Checkout has been initialized.","Alışveriş tamamlama başlatıldı."
"City","İlçe"
"Color Themes","Renk Temaları"
"Colors","Renkler"
"Company","Firma"
"Completed","Tamamlandı"
"Confirm New Password","Yeni Şifre (Tekrar)"
"Confirm Password","Yeni Şifre (Tekrar)"
"Contact Email","İletişim E-Mail"
"Contact Information","İletişim Bilgisi"
"Content","İçerik"
"Copyright","Telif"
"Copyright Page Logo","Telif Sayfası Logosu"
"Copyright page logo","Telif Sayfası Logosu"
"Country","Ülke"
